INFO: Obtaining the 10 best outliers for parser BOUN (İstanbul) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                              |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('grc_perseus', 'en_ewt', 'ru_syntagrus', 'ko_gsd', 'sme_giella', 'got_proiel', 'fro_srcmf', 'ro_rrt', 'nl_lassysmall', 'ko_kaist') |     16     |
| ('ko_gsd', 'fo_oft', 'fro_srcmf', 'cs_pdt', 'pl_lfg', 'ko_kaist', 'he_htb', 'la_ittb', 'et_edt', 'af_afribooms')                    |     17     |
| ('fa_seraji', 'sme_giella', 'no_bokmaal', 'ko_gsd', 'sv_talbanken', 'la_ittb', 'cs_cac', 'fro_srcmf', 'ro_rrt', 'ko_kaist')         |     17     |
| ('ug_udt', 'fo_oft', 'cs_cac', 'ko_kaist', 'ro_rrt', 'ur_udtb', 'got_proiel', 'ar_padt', 'fr_gsd', 'cs_fictree')                    |     17     |
| ('no_nynorsk', 'ru_syntagrus', 'pl_lfg', 'ko_gsd', 'es_ancora', 'fi_ftb', 'cu_proiel', 'ca_ancora', 'et_edt', 'br_keb')             |     17     |
| ('ur_udtb', 'cs_pdt', 'et_edt', 'sme_giella', 'ko_gsd', 'fi_tdt', 'br_keb', 'sv_talbanken', 'ko_kaist', 'th_pud')                   |     17     |
| ('sv_talbanken', 'got_proiel', 'no_nynorsk', 'ca_ancora', 'ja_gsd', 'ru_syntagrus', 'it_isdt', 'vi_vtb', 'ko_kaist', 'pt_bosque')   |     17     |
| ('la_proiel', 'da_ddt', 'ro_rrt', 'pt_bosque', 'ko_gsd', 'fo_oft', 'it_isdt', 'ko_kaist', 'sme_giella', 'br_keb')                   |     17     |
| ('pl_sz', 'grc_proiel', 'fo_oft', 'ko_gsd', 'fi_ftb', 'ko_kaist', 'sl_ssj', 'got_proiel', 'fro_srcmf', 'no_nynorsk')                |     17     |
