INFO: Obtaining the 10 best outliers for parser Fudan (Shanghai) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                         |  Position  |
|--------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'hy_armtdp', 'ja_modern', 'bg_btb', 'it_isdt', 'no_bokmaal', 'it_postwita', 'hsb_ufal', 'kmr_mg', 'bxr_bdt')    |     10     |
| ('kmr_mg', 'cs_pdt', 'hsb_ufal', 'cu_proiel', 'el_gdt', 'ja_modern', 'sme_giella', 'es_ancora', 'bxr_bdt', 'hy_armtdp')        |     10     |
| ('pt_bosque', 'sme_giella', 'ja_gsd', 'kmr_mg', 'es_ancora', 'ja_modern', 'hsb_ufal', 'got_proiel', 'it_isdt', 'gl_treegal')   |     10     |
| ('kmr_mg', 'br_keb', 'fr_gsd', 'ja_modern', 'ga_idt', 'ar_padt', 'hy_armtdp', 'grc_perseus', 'sme_giella', 'pt_bosque')        |     10     |
| ('pt_bosque', 'sme_giella', 'kmr_mg', 'th_pud', 'gl_treegal', 'hy_armtdp', 'it_isdt', 'grc_perseus', 'bg_btb', 'grc_proiel')   |     11     |
| ('ca_ancora', 'hy_armtdp', 'ja_modern', 'es_ancora', 'cs_fictree', 'kmr_mg', 'hr_set', 'fi_tdt', 'hsb_ufal', 'sme_giella')     |     11     |
| ('pt_bosque', 'hsb_ufal', 'ko_kaist', 'th_pud', 'la_perseus', 'got_proiel', 'sme_giella', 'fi_tdt', 'id_gsd', 'hy_armtdp')     |     11     |
| ('th_pud', 'hsb_ufal', 'sme_giella', 'ga_idt', 'gl_treegal', 'fi_tdt', 'zh_gsd', 'got_proiel', 'hy_armtdp', 'ru_syntagrus')    |     11     |
| ('got_proiel', 'no_bokmaal', 'hsb_ufal', 'ga_idt', 'es_ancora', 'id_gsd', 'hy_armtdp', 'ja_modern', 'sme_giella', 'fr_spoken') |     11     |
| ('ja_modern', 'fi_pud', 'tr_imst', 'gl_treegal', 'grc_proiel', 'la_ittb', 'sme_giella', 'hy_armtdp', 'bxr_bdt', 'kmr_mg')      |     11     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                            |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'hy_armtdp', 'ja_modern', 'bg_btb', 'it_isdt', 'no_bokmaal', 'it_postwita', 'hsb_ufal', 'kmr_mg', 'bxr_bdt')       |     8      |
| ('kmr_mg', 'cs_pdt', 'hsb_ufal', 'cu_proiel', 'el_gdt', 'ja_modern', 'sme_giella', 'es_ancora', 'bxr_bdt', 'hy_armtdp')           |     8      |
| ('gl_treegal', 'got_proiel', 'ru_syntagrus', 'ja_modern', 'hy_armtdp', 'hsb_ufal', 'pcm_nsc', 'tr_imst', 'kmr_mg', 'sme_giella')  |     8      |
| ('sme_giella', 'ja_modern', 'got_proiel', 'la_proiel', 'ko_kaist', 'br_keb', 'cs_cac', 'hy_armtdp', 'hsb_ufal', 'fo_oft')         |     8      |
| ('fro_srcmf', 'da_ddt', 'ga_idt', 'sme_giella', 'it_isdt', 'fi_pud', 'got_proiel', 'hi_hdtb', 'ja_modern', 'en_pud')              |     9      |
| ('sv_pud', 'ja_modern', 'fro_srcmf', 'sme_giella', 'id_gsd', 'it_postwita', 'hy_armtdp', 'br_keb', 'hsb_ufal', 'en_lines')        |     9      |
| ('pt_bosque', 'sme_giella', 'ja_gsd', 'kmr_mg', 'es_ancora', 'ja_modern', 'hsb_ufal', 'got_proiel', 'it_isdt', 'gl_treegal')      |     9      |
| ('la_proiel', 'cu_proiel', 'kmr_mg', 'sme_giella', 'id_gsd', 'la_perseus', 'hy_armtdp', 'bxr_bdt', 'sv_talbanken', 'ja_modern')   |     9      |
| ('vi_vtb', 'zh_gsd', 'kmr_mg', 'it_postwita', 'got_proiel', 'no_nynorsklia', 'ja_modern', 'hy_armtdp', 'sme_giella', 'cu_proiel') |     9      |
| ('cu_proiel', 'it_isdt', 'pl_lfg', 'sme_giella', 'ja_modern', 'fro_srcmf', 'kmr_mg', 'en_gum', 'fi_pud', 'th_pud')                |     9      |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
| ('bxr_bdt', 'la_perseus', 'fi_pud', 'ja_modern', 'id_gsd', 'hy_armtdp', 'sk_snk', 'de_gsd', 'cs_fictree', 'ru_taiga')      |     9      |
| ('ko_kaist', 'kmr_mg', 'hsb_ufal', 'fi_pud', 'id_gsd', 'bxr_bdt', 'br_keb', 'af_afribooms', 'fi_ftb', 'th_pud')            |     9      |
| ('fro_srcmf', 'hsb_ufal', 'ru_syntagrus', 'id_gsd', 'bg_btb', 'fi_pud', 'sv_pud', 'hi_hdtb', 'hy_armtdp', 'en_pud')        |     9      |
| ('en_pud', 'id_gsd', 'bg_btb', 'ko_kaist', 'vi_vtb', 'la_perseus', 'fi_pud', 'fro_srcmf', 'cu_proiel', 'th_pud')           |     10     |
| ('ru_taiga', 'bg_btb', 'ja_modern', 'kmr_mg', 'cu_proiel', 'he_htb', 'sk_snk', 'fi_ftb', 'hy_armtdp', 'id_gsd')            |     10     |
| ('ja_modern', 'cu_proiel', 'zh_gsd', 'hy_armtdp', 'fi_pud', 'id_gsd', 'cs_fictree', 'sk_snk', 'pcm_nsc', 'vi_vtb')         |     10     |
| ('th_pud', 'ko_gsd', 'ga_idt', 'ko_kaist', 'hi_hdtb', 'sk_snk', 'hy_armtdp', 'hsb_ufal', 'id_gsd', 'zh_gsd')               |     10     |
| ('la_ittb', 'sv_pud', 'fo_oft', 'fro_srcmf', 'id_gsd', 'ko_kaist', 'br_keb', 'fi_pud', 'la_perseus', 'grc_perseus')        |     10     |
| ('sme_giella', 'cs_fictree', 'kmr_mg', 'th_pud', 'ru_syntagrus', 'br_keb', 'ja_modern', 'hsb_ufal', 'sk_snk', 'sv_pud')    |     10     |
| ('it_postwita', 'sme_giella', 'hsb_ufal', 'fo_oft', 'id_gsd', 'cu_proiel', 'fa_seraji', 'ko_kaist', 'sv_pud', 'ja_modern') |     10     |

INFO: Showing outliers for UAS

| Subset                                                                                                                        |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'hy_armtdp', 'ja_modern', 'bg_btb', 'it_isdt', 'no_bokmaal', 'it_postwita', 'hsb_ufal', 'kmr_mg', 'bxr_bdt')   |     10     |
| ('kmr_mg', 'cs_pdt', 'hsb_ufal', 'cu_proiel', 'el_gdt', 'ja_modern', 'sme_giella', 'es_ancora', 'bxr_bdt', 'hy_armtdp')       |     10     |
| ('pt_bosque', 'sme_giella', 'ja_gsd', 'kmr_mg', 'es_ancora', 'ja_modern', 'hsb_ufal', 'got_proiel', 'it_isdt', 'gl_treegal')  |     10     |
| ('ja_modern', 'fi_pud', 'tr_imst', 'gl_treegal', 'grc_proiel', 'la_ittb', 'sme_giella', 'hy_armtdp', 'bxr_bdt', 'kmr_mg')     |     10     |
| ('kmr_mg', 'br_keb', 'fr_gsd', 'ja_modern', 'ga_idt', 'ar_padt', 'hy_armtdp', 'grc_perseus', 'sme_giella', 'pt_bosque')       |     10     |
| ('pt_bosque', 'sme_giella', 'kmr_mg', 'th_pud', 'gl_treegal', 'hy_armtdp', 'it_isdt', 'grc_perseus', 'bg_btb', 'grc_proiel')  |     11     |
| ('got_proiel', 'ar_padt', 'bxr_bdt', 'ro_rrt', 'fr_gsd', 'cu_proiel', 'ru_syntagrus', 'hsb_ufal', 'sv_pud', 'sme_giella')     |     11     |
| ('cs_cac', 'pt_bosque', 'en_lines', 'ar_padt', 'it_isdt', 'la_proiel', 'bxr_bdt', 'hsb_ufal', 'sme_giella', 'fr_sequoia')     |     11     |
| ('en_ewt', 'got_proiel', 'it_isdt', 'bxr_bdt', 'ja_modern', 'sme_giella', 'hsb_ufal', 'ug_udt', 'nl_lassysmall', 'es_ancora') |     11     |
| ('ca_ancora', 'hy_armtdp', 'ja_modern', 'es_ancora', 'cs_fictree', 'kmr_mg', 'hr_set', 'fi_tdt', 'hsb_ufal', 'sme_giella')    |     11     |

INFO: Showing outliers for CLAS

| Subset                                                                                                                              |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('kmr_mg', 'cs_pdt', 'hsb_ufal', 'cu_proiel', 'el_gdt', 'ja_modern', 'sme_giella', 'es_ancora', 'bxr_bdt', 'hy_armtdp')             |     12     |
| ('bxr_bdt', 'sme_giella', 'cs_fictree', 'ru_taiga', 'ko_gsd', 'hy_armtdp', 'kmr_mg', 'la_perseus', 'hsb_ufal', 'ru_syntagrus')      |     12     |
| ('fi_pud', 'hsb_ufal', 'got_proiel', 'da_ddt', 'br_keb', 'cu_proiel', 'kmr_mg', 'fro_srcmf', 'pl_lfg', 'hy_armtdp')                 |     12     |
