INFO: Obtaining the 10 best outliers for parser IBM NY (Yorktown Heights) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                  |  Position  |
|-------------------------------------------------------------------------------------------------------------------------|------------|
| ('es_ancora', 'fro_srcmf', 'ug_udt', 'tr_imst', 'sv_pud', 'bxr_bdt', 'kmr_mg', 'hsb_ufal', 'vi_vtb', 'fo_oft')          |     2      |
| ('fro_srcmf', 'grc_proiel', 'la_ittb', 'sv_pud', 'fo_oft', 'hsb_ufal', 'bxr_bdt', 'uk_iu', 'kmr_mg', 'ro_rrt')          |     2      |
| ('kk_ktb', 'hsb_ufal', 'hr_set', 'kmr_mg', 'fi_ftb', 'fro_srcmf', 'it_isdt', 'fo_oft', 'bxr_bdt', 'no_nynorsk')         |     2      |
| ('ro_rrt', 'bxr_bdt', 'grc_proiel', 'fo_oft', 'got_proiel', 'ur_udtb', 'hsb_ufal', 'ko_kaist', 'hi_hdtb', 'kmr_mg')     |     2      |
| ('ar_padt', 'fo_oft', 'hsb_ufal', 'cs_pud', 'ug_udt', 'kmr_mg', 'ru_syntagrus', 'et_edt', 'pt_bosque', 'bxr_bdt')       |     2      |
| ('grc_proiel', 'lv_lvtb', 'kmr_mg', 'ru_taiga', 'bxr_bdt', 'hi_hdtb', 'hsb_ufal', 'fo_oft', 'ru_syntagrus', 'cs_pdt')   |     3      |
| ('bg_btb', 'af_afribooms', 'la_ittb', 'bxr_bdt', 'vi_vtb', 'cu_proiel', 'it_postwita', 'cs_pdt', 'kmr_mg', 'hsb_ufal')  |     3      |
| ('vi_vtb', 'lv_lvtb', 'hsb_ufal', 'bxr_bdt', 'ug_udt', 'no_bokmaal', 'ko_kaist', 'got_proiel', 'it_postwita', 'kmr_mg') |     3      |
| ('cs_pud', 'vi_vtb', 'hr_set', 'fa_seraji', 'ru_syntagrus', 'fr_gsd', 'hsb_ufal', 'ko_kaist', 'bxr_bdt', 'it_postwita') |     3      |
| ('bxr_bdt', 'fi_pud', 'tr_imst', 'kmr_mg', 'hsb_ufal', 'cu_proiel', 'ko_kaist', 'pt_bosque', 'id_gsd', 'no_bokmaal')    |     3      |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                             |  Position  |
|--------------------------------------------------------------------------------------------------------------------|------------|
| ('fr_spoken', 'ru_taiga', 'ko_kaist', 'tr_imst', 'ja_modern', 'kk_ktb', 'fi_pud', 'th_pud', 'fi_tdt', 'bxr_bdt')   |     13     |
| ('uk_iu', 'fi_pud', 'ko_kaist', 'ru_taiga', 'hsb_ufal', 'tr_imst', 'hu_szeged', 'kk_ktb', 'cs_pdt', 'fi_ftb')      |     13     |
| ('ru_taiga', 'pcm_nsc', 'kmr_mg', 'hy_armtdp', 'th_pud', 'fi_pud', 'cs_pdt', 'ko_kaist', 'sk_snk', 'fo_oft')       |     14     |
| ('ja_gsd', 'ja_modern', 'sr_set', 'got_proiel', 'cs_pud', 'hsb_ufal', 'uk_iu', 'cs_pdt', 'ko_kaist', 'hu_szeged')  |     15     |
| ('hsb_ufal', 'bxr_bdt', 'cs_pdt', 'hy_armtdp', 'ko_kaist', 'grc_proiel', 'fi_pud', 'sk_snk', 'kmr_mg', 'hr_set')   |     15     |
| ('ru_taiga', 'ja_modern', 'hsb_ufal', 'fr_spoken', 'ro_rrt', 'hr_set', 'ko_kaist', 'ur_udtb', 'he_htb', 'fi_pud')  |     15     |
| ('pcm_nsc', 'la_proiel', 'he_htb', 'fr_spoken', 'hsb_ufal', 'ko_kaist', 'cs_pud', 'fi_pud', 'ja_modern', 'br_keb') |     15     |
| ('ko_kaist', 'sl_ssj', 'sk_snk', 'fo_oft', 'fr_spoken', 'cs_pdt', 'fi_pud', 'hr_set', 'fi_tdt', 'cs_pud')          |     15     |
| ('grc_perseus', 'ja_gsd', 'kk_ktb', 'ru_taiga', 'pl_lfg', 'fi_pud', 'pcm_nsc', 'ko_kaist', 'ja_modern', 'cs_pud')  |     15     |
