INFO: Obtaining the 10 best outliers for parser LATTICE (Paris) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                          |  Position  |
|---------------------------------------------------------------------------------------------------------------------------------|------------|
| ('ro_rrt', 'fro_srcmf', 'br_keb', 'hsb_ufal', 'grc_perseus', 'en_pud', 'bxr_bdt', 'no_bokmaal', 'cs_pdt', 'ar_padt')            |     1      |
| ('la_ittb', 'ur_udtb', 'cs_pud', 'af_afribooms', 'sme_giella', 'hsb_ufal', 'ko_kaist', 'grc_proiel', 'ro_rrt', 'br_keb')        |     1      |
| ('ar_padt', 'br_keb', 'fa_seraji', 'sme_giella', 'id_gsd', 'sv_pud', 'kmr_mg', 'hy_armtdp', 'en_gum', 'grc_proiel')             |     1      |
| ('hy_armtdp', 'cs_fictree', 'fr_sequoia', 'br_keb', 'it_postwita', 'sme_giella', 'sl_ssj', 'no_nynorsklia', 'el_gdt', 'en_pud') |     1      |
| ('gl_ctg', 'fr_spoken', 'no_bokmaal', 'sl_sst', 'br_keb', 'en_lines', 'cs_fictree', 'no_nynorsklia', 'sk_snk', 'hsb_ufal')      |     1      |
| ('it_isdt', 'br_keb', 'ru_taiga', 'el_gdt', 'cs_pud', 'cu_proiel', 'en_lines', 'grc_perseus', 'en_pud', 'hy_armtdp')            |     1      |
| ('cs_pdt', 'ko_gsd', 'cs_pud', 'kmr_mg', 'sv_pud', 'th_pud', 'kk_ktb', 'ga_idt', 'hy_armtdp', 'bxr_bdt')                        |     1      |
| ('pt_bosque', 'no_nynorsklia', 'sr_set', 'it_isdt', 'br_keb', 'bxr_bdt', 'sl_sst', 'pl_lfg', 'grc_proiel', 'hsb_ufal')          |     1      |
| ('hsb_ufal', 'br_keb', 'no_nynorsklia', 'no_nynorsk', 'cs_pdt', 'ca_ancora', 'es_ancora', 'tr_imst', 'kk_ktb', 'ru_syntagrus')  |     1      |
| ('br_keb', 'sme_giella', 'ar_padt', 'ro_rrt', 'pl_sz', 'hy_armtdp', 'id_gsd', 'bg_btb', 'hsb_ufal', 'cu_proiel')                |     1      |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                              |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'fr_gsd', 'en_pud', 'kmr_mg', 'fro_srcmf', 'fr_spoken', 'no_nynorsklia', 'bxr_bdt', 'ja_modern', 'kk_ktb')           |     1      |
| ('hy_armtdp', 'kk_ktb', 'kmr_mg', 'no_nynorsklia', 'th_pud', 'en_pud', 'fro_srcmf', 'es_ancora', 'ko_gsd', 'fo_oft')                |     1      |
| ('pcm_nsc', 'nl_lassysmall', 'en_lines', 'gl_ctg', 'fr_sequoia', 'hsb_ufal', 'no_nynorsklia', 'hy_armtdp', 'bxr_bdt', 'sme_giella') |     1      |
| ('en_lines', 'en_gum', 'ko_gsd', 'sme_giella', 'fr_spoken', 'no_bokmaal', 'kk_ktb', 'kmr_mg', 'th_pud', 'hy_armtdp')                |     1      |
| ('en_ewt', 'ko_gsd', 'kk_ktb', 'hsb_ufal', 'bxr_bdt', 'sme_giella', 'en_pud', 'ro_rrt', 'hy_armtdp', 'fo_oft')                      |     1      |
| ('hsb_ufal', 'fr_sequoia', 'fo_oft', 'ja_modern', 'sl_sst', 'bxr_bdt', 'sme_giella', 'fr_spoken', 'kk_ktb', 'en_pud')               |     1      |
| ('fo_oft', 'bxr_bdt', 'sme_giella', 'hy_armtdp', 'ru_taiga', 'pcm_nsc', 'kk_ktb', 'fr_sequoia', 'hsb_ufal', 'th_pud')               |     1      |
| ('fa_seraji', 'sv_talbanken', 'ja_modern', 'bxr_bdt', 'no_nynorsklia', 'hsb_ufal', 'kk_ktb', 'ga_idt', 'th_pud', 'hy_armtdp')       |     2      |
