INFO: Obtaining the 10 best outliers for parser NLP-Cube (București) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                |  Position  |
|-----------------------------------------------------------------------------------------------------------------------|------------|
| ('vi_vtb', 'es_ancora', 'et_edt', 'sl_ssj', 'ga_idt', 'cs_pud', 'nl_alpino', 'ja_gsd', 'cs_cac', 'zh_gsd')            |     2      |
| ('id_gsd', 'vi_vtb', 'da_ddt', 'ja_gsd', 'sk_snk', 'zh_gsd', 'hu_szeged', 'ur_udtb', 'ga_idt', 'en_ewt')              |     2      |
| ('ga_idt', 'de_gsd', 'da_ddt', 'zh_gsd', 'hi_hdtb', 'ja_gsd', 'it_isdt', 'gl_ctg', 'sl_ssj', 'fa_seraji')             |     2      |
| ('en_ewt', 'id_gsd', 'cs_pud', 'zh_gsd', 'ga_idt', 'la_ittb', 'ro_rrt', 'vi_vtb', 'fi_tdt', 'ja_gsd')                 |     2      |
| ('hy_armtdp', 'la_ittb', 'sl_ssj', 'grc_proiel', 'en_lines', 'vi_vtb', 'ja_gsd', 'it_isdt', 'zh_gsd', 'th_pud')       |     2      |
| ('gl_ctg', 'sl_ssj', 'af_afribooms', 'fr_gsd', 'cs_cac', 'sr_set', 'zh_gsd', 'cs_pdt', 'ja_gsd', 'hy_armtdp')         |     2      |
| ('cs_pud', 'hi_hdtb', 'hsb_ufal', 'af_afribooms', 'ca_ancora', 'pl_lfg', 'it_isdt', 'sk_snk', 'sl_ssj', 'vi_vtb')     |     2      |
| ('da_ddt', 'af_afribooms', 'zh_gsd', 'la_ittb', 'ca_ancora', 'sl_ssj', 'hsb_ufal', 'no_nynorsk', 'it_isdt', 'sr_set') |     2      |
| ('id_gsd', 'ja_gsd', 'ca_ancora', 'sk_snk', 'it_isdt', 'hy_armtdp', 'ko_kaist', 'eu_bdt', 'la_ittb', 'zh_gsd')        |     2      |
| ('zh_gsd', 'sk_snk', 'gl_ctg', 'ko_kaist', 'da_ddt', 'hy_armtdp', 'la_ittb', 'en_ewt', 'sl_ssj', 'hi_hdtb')           |     2      |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                 |  Position  |
|------------------------------------------------------------------------------------------------------------------------|------------|
| ('sv_talbanken', 'sv_pud', 'fo_oft', 'sl_ssj', 'nl_alpino', 'zh_gsd', 'kmr_mg', 'no_bokmaal', 'hsb_ufal', 'hy_armtdp') |     2      |
| ('nl_alpino', 'en_ewt', 'ja_gsd', 'hy_armtdp', 'ko_kaist', 'hsb_ufal', 'cs_cac', 'ru_syntagrus', 'hr_set', 'th_pud')   |     2      |
| ('ja_gsd', 'en_pud', 'gl_ctg', 'de_gsd', 'pcm_nsc', 'ko_kaist', 'cs_pud', 'hy_armtdp', 'hsb_ufal', 'ur_udtb')          |     2      |
| ('en_ewt', 'kmr_mg', 'hy_armtdp', 'zh_gsd', 'sk_snk', 'no_nynorsk', 'hsb_ufal', 'ca_ancora', 'sl_ssj', 'en_pud')       |     2      |
| ('sv_talbanken', 'gl_ctg', 'ur_udtb', 'it_isdt', 'cs_pud', 'hy_armtdp', 'cs_cac', 'sl_ssj', 'ja_gsd', 'hsb_ufal')      |     2      |
| ('hsb_ufal', 'zh_gsd', 'kmr_mg', 'sl_ssj', 'cs_pud', 'kk_ktb', 'hy_armtdp', 'en_ewt', 'gl_ctg', 'hr_set')              |     2      |
| ('fo_oft', 'zh_gsd', 'nl_alpino', 'de_gsd', 'hsb_ufal', 'es_ancora', 'en_ewt', 'cs_cac', 'kmr_mg', 'en_lines')         |     3      |
| ('hy_armtdp', 'ja_gsd', 'hsb_ufal', 'id_gsd', 'it_isdt', 'zh_gsd', 'cs_pud', 'th_pud', 'ur_udtb', 'cs_pdt')            |     3      |
| ('ja_gsd', 'hsb_ufal', 'vi_vtb', 'fo_oft', 'fa_seraji', 'de_gsd', 'kmr_mg', 'pcm_nsc', 'sv_pud', 'cs_pdt')             |     3      |
| ('th_pud', 'bxr_bdt', 'en_ewt', 'hr_set', 'hsb_ufal', 'zh_gsd', 'af_afribooms', 'hy_armtdp', 'de_gsd', 'pcm_nsc')      |     3      |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                        |  Position  |
|-------------------------------------------------------------------------------------------------------------------------------|------------|
| ('ca_ancora', 'hsb_ufal', 'pt_bosque', 'la_ittb', 'sl_ssj', 'sv_talbanken', 'zh_gsd', 'hi_hdtb', 'kmr_mg', 'ur_udtb')         |     6      |
| ('kmr_mg', 'he_htb', 'vi_vtb', 'en_pud', 'la_proiel', 'ga_idt', 'ja_gsd', 'en_lines', 'hy_armtdp', 'zh_gsd')                  |     6      |
| ('hsb_ufal', 'zh_gsd', 'he_htb', 'hy_armtdp', 'no_nynorsk', 'es_ancora', 'hr_set', 'vi_vtb', 'en_pud', 'it_isdt')             |     6      |
| ('es_ancora', 'br_keb', 'kmr_mg', 'ja_gsd', 'it_isdt', 'hsb_ufal', 'hy_armtdp', 'cs_pdt', 'da_ddt', 'fr_sequoia')             |     6      |
| ('nl_alpino', 'ja_gsd', 'th_pud', 'hsb_ufal', 'fr_gsd', 'sk_snk', 'af_afribooms', 'da_ddt', 'zh_gsd', 'hy_armtdp')            |     6      |
| ('en_ewt', 'kmr_mg', 'hy_armtdp', 'zh_gsd', 'sk_snk', 'no_nynorsk', 'hsb_ufal', 'ca_ancora', 'sl_ssj', 'en_pud')              |     6      |
| ('fa_seraji', 'en_pud', 'hy_armtdp', 'no_nynorsk', 'sv_talbanken', 'zh_gsd', 'af_afribooms', 'ja_gsd', 'hsb_ufal', 'ur_udtb') |     6      |
| ('ca_ancora', 'ur_udtb', 'hsb_ufal', 'af_afribooms', 'en_ewt', 'ja_gsd', 'zh_gsd', 'pt_bosque', 'ru_syntagrus', 'cs_cac')     |     6      |
| ('hsb_ufal', 'hy_armtdp', 'ur_udtb', 'en_lines', 'ja_gsd', 'kmr_mg', 'hu_szeged', 'zh_gsd', 'it_isdt', 'en_gum')              |     6      |
