INFO: Obtaining the 10 best outliers for parser ParisNLP (Paris) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                      |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------|------------|
| ('it_isdt', 'de_gsd', 'sr_set', 'cs_pdt', 'sk_snk', 'sme_giella', 'el_gdt', 'ug_udt', 'la_ittb', 'no_nynorsk')              |     4      |
| ('eu_bdt', 'de_gsd', 'sme_giella', 'la_ittb', 'sr_set', 'ro_rrt', 'fa_seraji', 'ca_ancora', 'sk_snk', 'ar_padt')            |     4      |
| ('th_pud', 'bg_btb', 'ru_syntagrus', 'gl_ctg', 'sk_snk', 'vi_vtb', 'ca_ancora', 'sme_giella', 'ar_padt', 'af_afribooms')    |     4      |
| ('cs_pdt', 'el_gdt', 'ru_syntagrus', 'kk_ktb', 'ga_idt', 'no_bokmaal', 'ar_padt', 'got_proiel', 'fro_srcmf', 'ko_gsd')      |     4      |
| ('sr_set', 'sme_giella', 'no_nynorsk', 'lv_lvtb', 'th_pud', 'fa_seraji', 'got_proiel', 'sv_talbanken', 'pl_lfg', 'ar_padt') |     4      |
| ('ca_ancora', 'bg_btb', 'ar_padt', 'sme_giella', 'no_nynorsk', 'la_ittb', 'sv_lines', 'gl_ctg', 'no_bokmaal', 'da_ddt')     |     4      |
| ('ru_syntagrus', 'ro_rrt', 'lv_lvtb', 'gl_ctg', 'sme_giella', 'ar_padt', 'ja_gsd', 'grc_perseus', 'de_gsd', 'ca_ancora')    |     4      |
| ('gl_ctg', 'bxr_bdt', 'sr_set', 'ar_padt', 'ga_idt', 'no_nynorsk', 'de_gsd', 'fro_srcmf', 'ja_gsd', 'ko_kaist')             |     4      |
| ('cs_cac', 'id_gsd', 'no_nynorsk', 'ko_gsd', 'ru_syntagrus', 'es_ancora', 'sv_talbanken', 'bxr_bdt', 'hsb_ufal', 'kk_ktb')  |     4      |
| ('bg_btb', 'cs_pdt', 'sr_set', 'lv_lvtb', 'fa_seraji', 'sk_snk', 'hi_hdtb', 'grc_proiel', 'sv_lines', 'sme_giella')         |     4      |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                       |  Position  |
|------------------------------------------------------------------------------------------------------------------------------|------------|
| ('en_ewt', 'ro_rrt', 'got_proiel', 'sr_set', 'fro_srcmf', 'gl_treegal', 'sme_giella', 'ga_idt', 'tr_imst', 'ja_gsd')         |     6      |
| ('br_keb', 'kk_ktb', 'got_proiel', 'pcm_nsc', 'ca_ancora', 'sr_set', 'cu_proiel', 'bxr_bdt', 'gl_treegal', 'ga_idt')         |     6      |
| ('sr_set', 'ug_udt', 'got_proiel', 'bxr_bdt', 'fro_srcmf', 'pcm_nsc', 'grc_proiel', 'gl_ctg', 'sme_giella', 'fo_oft')        |     6      |
| ('hi_hdtb', 'sr_set', 'vi_vtb', 'sme_giella', 'id_gsd', 'ug_udt', 'pcm_nsc', 'fa_seraji', 'hsb_ufal', 'gl_treegal')          |     6      |
| ('kmr_mg', 'ga_idt', 'th_pud', 'sme_giella', 'gl_ctg', 'fi_tdt', 'bxr_bdt', 'fro_srcmf', 'no_bokmaal', 'got_proiel')         |     6      |
| ('pcm_nsc', 'vi_vtb', 'af_afribooms', 'sme_giella', 'ga_idt', 'sk_snk', 'gl_treegal', 'fo_oft', 'bg_btb', 'gl_ctg')          |     6      |
| ('got_proiel', 'br_keb', 'fa_seraji', 'kk_ktb', 'pt_bosque', 'ga_idt', 'th_pud', 'la_proiel', 'sme_giella', 'tr_imst')       |     6      |
| ('sme_giella', 'bxr_bdt', 'gl_ctg', 'ga_idt', 'fro_srcmf', 'hu_szeged', 'la_proiel', 'fo_oft', 'kk_ktb', 'ro_rrt')           |     6      |
| ('la_ittb', 'nl_alpino', 'fi_ftb', 'fro_srcmf', 'no_bokmaal', 'da_ddt', 'af_afribooms', 'la_proiel', 'fa_seraji', 'ar_padt') |     7      |
| ('gl_ctg', 'bg_btb', 'la_proiel', 'fro_srcmf', 'af_afribooms', 'gl_treegal', 'he_htb', 'tr_imst', 'bxr_bdt', 'ko_gsd')       |     7      |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                           |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('no_nynorsk', 'got_proiel', 'vi_vtb', 'hr_set', 'hsb_ufal', 'kmr_mg', 'ga_idt', 'ar_padt', 'gl_treegal', 'ja_gsd')              |     5      |
| ('ga_idt', 'la_proiel', 'sme_giella', 'ur_udtb', 'ja_gsd', 'it_isdt', 'fro_srcmf', 'hsb_ufal', 'ru_syntagrus', 'sr_set')         |     5      |
| ('fa_seraji', 'hsb_ufal', 'af_afribooms', 'hi_hdtb', 'sme_giella', 'ga_idt', 'kk_ktb', 'cu_proiel', 'pt_bosque', 'fr_gsd')       |     5      |
| ('sme_giella', 'hsb_ufal', 'de_gsd', 'sv_talbanken', 'ko_gsd', 'af_afribooms', 'cs_cac', 'cs_pdt', 'pcm_nsc', 'ga_idt')          |     5      |
| ('hsb_ufal', 'hi_hdtb', 'lv_lvtb', 'got_proiel', 'en_ewt', 'nl_alpino', 'sr_set', 'es_ancora', 'sme_giella', 'kk_ktb')           |     5      |
| ('got_proiel', 'pl_lfg', 'ko_kaist', 'ga_idt', 'cs_fictree', 'et_edt', 'hsb_ufal', 'sme_giella', 'no_nynorsk', 'bxr_bdt')        |     5      |
| ('th_pud', 'bxr_bdt', 'sl_ssj', 'fr_gsd', 'hsb_ufal', 'ug_udt', 'bg_btb', 'ro_rrt', 'sme_giella', 'cs_cac')                      |     5      |
| ('nl_lassysmall', 'sme_giella', 'ko_gsd', 'hi_hdtb', 'la_ittb', 'fro_srcmf', 'hsb_ufal', 'kmr_mg', 'ru_syntagrus', 'gl_treegal') |     5      |
