INFO: Obtaining the 10 best outliers for parser Uppsala (Uppsala) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                       |  Position  |
|------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sr_set', 'pl_sz', 'ca_ancora', 'ru_syntagrus', 'ja_modern', 'ur_udtb', 'no_nynorsklia', 'bxr_bdt', 'br_keb', 'cs_fictree') |     1      |
| ('sv_lines', 'nl_alpino', 'fr_sequoia', 'sr_set', 'br_keb', 'cs_cac', 'kk_ktb', 'fi_pud', 'kmr_mg', 'pcm_nsc')               |     1      |
| ('nl_alpino', 'kk_ktb', 'fr_spoken', 'la_ittb', 'br_keb', 'sl_ssj', 'es_ancora', 'sl_sst', 'bxr_bdt', 'grc_proiel')          |     1      |
| ('sv_pud', 'fr_gsd', 'br_keb', 'la_proiel', 'en_pud', 'grc_proiel', 'kk_ktb', 'ja_modern', 'bxr_bdt', 'vi_vtb')              |     1      |
| ('cs_cac', 'br_keb', 'cs_fictree', 'sk_snk', 'bxr_bdt', 'sl_ssj', 'kk_ktb', 'it_postwita', 'fi_ftb', 'th_pud')               |     1      |
| ('ja_modern', 'ga_idt', 'ur_udtb', 'sme_giella', 'sv_lines', 'fa_seraji', 'kmr_mg', 'zh_gsd', 'br_keb', 'fr_gsd')            |     1      |
| ('ko_gsd', 'en_lines', 'it_postwita', 'br_keb', 'no_nynorsk', 'sv_lines', 'kmr_mg', 'ro_rrt', 'kk_ktb', 'vi_vtb')            |     1      |
| ('ar_padt', 'ur_udtb', 'br_keb', 'kk_ktb', 'gl_treegal', 'it_postwita', 'ug_udt', 'sk_snk', 'sl_sst', 'uk_iu')               |     1      |
| ('br_keb', 'gl_treegal', 'ja_modern', 'fr_sequoia', 'pl_lfg', 'es_ancora', 'pcm_nsc', 'fro_srcmf', 'bxr_bdt', 'vi_vtb')      |     1      |
| ('br_keb', 'af_afribooms', 'cs_pdt', 'ca_ancora', 'ja_modern', 'it_postwita', 'gl_ctg', 'kk_ktb', 'fi_ftb', 'sk_snk')        |     1      |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                  |  Position  |
|-------------------------------------------------------------------------------------------------------------------------|------------|
| ('sv_lines', 'nl_alpino', 'fr_sequoia', 'sr_set', 'br_keb', 'cs_cac', 'kk_ktb', 'fi_pud', 'kmr_mg', 'pcm_nsc')          |     1      |
| ('cs_cac', 'br_keb', 'cs_fictree', 'sk_snk', 'bxr_bdt', 'sl_ssj', 'kk_ktb', 'it_postwita', 'fi_ftb', 'th_pud')          |     1      |
| ('sl_sst', 'br_keb', 'fo_oft', 'cs_fictree', 'tr_imst', 'it_postwita', 'sme_giella', 'ru_taiga', 'ja_modern', 'ug_udt') |     1      |
| ('ko_gsd', 'en_lines', 'it_postwita', 'br_keb', 'no_nynorsk', 'sv_lines', 'kmr_mg', 'ro_rrt', 'kk_ktb', 'vi_vtb')       |     1      |
| ('pcm_nsc', 'tr_imst', 'ja_modern', 'es_ancora', 'it_postwita', 'gl_treegal', 'cs_cac', 'bg_btb', 'kmr_mg', 'en_lines') |     1      |
| ('kk_ktb', 'kmr_mg', 'id_gsd', 'pcm_nsc', 'it_isdt', 'ug_udt', 'es_ancora', 'bxr_bdt', 'hsb_ufal', 'ja_modern')         |     1      |
| ('ru_taiga', 'zh_gsd', 'bxr_bdt', 'ja_modern', 'gl_treegal', 'sme_giella', 'sr_set', 'ja_gsd', 'bg_btb', 'fi_ftb')      |     1      |
| ('br_keb', 'no_nynorsk', 'es_ancora', 'sl_ssj', 'kk_ktb', 'kmr_mg', 'en_pud', 'no_nynorsklia', 'ar_padt', 'el_gdt')     |     1      |
| ('cs_pdt', 'fo_oft', 'sl_sst', 'it_isdt', 'kk_ktb', 'ca_ancora', 'bxr_bdt', 'br_keb', 'id_gsd', 'cs_fictree')           |     1      |
| ('sr_set', 'ja_gsd', 'bxr_bdt', 'fr_gsd', 'eu_bdt', 'no_nynorsk', 'nl_lassysmall', 'no_nynorsklia', 'br_keb', 'kk_ktb') |     1      |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                         |  Position  |
|--------------------------------------------------------------------------------------------------------------------------------|------------|
| ('fo_oft', 'no_nynorsklia', 'ur_udtb', 'bxr_bdt', 'fr_spoken', 'br_keb', 'pcm_nsc', 'vi_vtb', 'en_pud', 'sl_sst')              |     19     |
| ('la_perseus', 'ru_taiga', 'th_pud', 'gl_treegal', 'pcm_nsc', 'ja_modern', 'fr_spoken', 'vi_vtb', 'bxr_bdt', 'zh_gsd')         |     19     |
| ('it_postwita', 'hy_armtdp', 'kmr_mg', 'pcm_nsc', 'fro_srcmf', 'no_nynorsklia', 'ja_modern', 'fo_oft', 'vi_vtb', 'gl_treegal') |     19     |
