INFO: Obtaining the 10 worst outliers for parser CEA LIST (Paris) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                            |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sl_sst', 'nl_alpino', 'hi_hdtb', 'nl_lassysmall', 'en_pud', 'it_postwita', 'grc_proiel', 'it_isdt', 'hsb_ufal', 'sv_talbanken') |     13     |
| ('ru_syntagrus', 'pt_bosque', 'af_afribooms', 'it_postwita', 'vi_vtb', 'hsb_ufal', 'he_htb', 'ga_idt', 'ro_rrt', 'en_pud')        |     13     |
| ('ro_rrt', 'hsb_ufal', 'ja_gsd', 'it_postwita', 'fr_gsd', 'ru_syntagrus', 'la_perseus', 'ug_udt', 'vi_vtb', 'nl_lassysmall')      |     13     |
| ('pl_lfg', 'fr_gsd', 'kmr_mg', 'la_perseus', 'got_proiel', 'sl_sst', 'it_postwita', 'grc_proiel', 'hsb_ufal', 'en_pud')           |     13     |
| ('sl_ssj', 'ca_ancora', 'ga_idt', 'en_pud', 'hsb_ufal', 'it_postwita', 'it_isdt', 'ko_gsd', 'vi_vtb', 'pl_lfg')                   |     13     |
| ('vi_vtb', 'kmr_mg', 'la_perseus', 'ja_gsd', 'fr_gsd', 'sr_set', 'hsb_ufal', 'no_nynorsk', 'grc_perseus', 'ug_udt')               |     13     |
| ('nl_lassysmall', 'it_postwita', 'bxr_bdt', 'gl_ctg', 'sr_set', 'sl_ssj', 'ja_gsd', 'sl_sst', 'la_ittb', 'hsb_ufal')              |     13     |
| ('ja_gsd', 'ca_ancora', 'pt_bosque', 'kmr_mg', 'th_pud', 'hsb_ufal', 'la_perseus', 'hr_set', 'ur_udtb', 'en_pud')                 |     13     |
| ('gl_ctg', 'ga_idt', 'en_pud', 'sv_pud', 'cs_cac', 'zh_gsd', 'hsb_ufal', 'vi_vtb', 'ro_rrt', 'it_isdt')                           |     13     |
| ('hsb_ufal', 'it_postwita', 'cs_pud', 'th_pud', 'zh_gsd', 'en_pud', 'ca_ancora', 'it_isdt', 'no_bokmaal', 'la_perseus')           |     13     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                          |  Position  |
|---------------------------------------------------------------------------------------------------------------------------------|------------|
| ('no_nynorsklia', 'ro_rrt', 'sv_pud', 'en_pud', 'sl_sst', 'id_gsd', 'hsb_ufal', 'hy_armtdp', 'ca_ancora', 'ja_modern')          |     11     |
| ('ja_modern', 'en_gum', 'sl_sst', 'th_pud', 'sv_pud', 'gl_treegal', 'la_perseus', 'vi_vtb', 'no_nynorsklia', 'eu_bdt')          |     10     |
| ('ja_modern', 'sv_pud', 'la_perseus', 'fa_seraji', 'en_lines', 'fr_spoken', 'no_nynorsklia', 'no_bokmaal', 'bxr_bdt', 'vi_vtb') |     10     |
| ('id_gsd', 'la_perseus', 'kmr_mg', 'sv_pud', 'la_ittb', 'cs_pdt', 'bxr_bdt', 'sl_sst', 'fo_oft', 'pcm_nsc')                     |     10     |
| ('hy_armtdp', 'sv_lines', 'la_perseus', 'en_ewt', 'pcm_nsc', 'en_pud', 'id_gsd', 'ca_ancora', 'no_nynorsklia', 'sv_pud')        |     10     |
| ('fa_seraji', 'cs_pdt', 'id_gsd', 'gl_treegal', 'vi_vtb', 'no_nynorsklia', 'en_pud', 'ga_idt', 'sv_pud', 'hsb_ufal')            |     10     |
| ('en_pud', 'fo_oft', 'en_lines', 'en_ewt', 'gl_treegal', 'he_htb', 'pcm_nsc', 'fa_seraji', 'no_nynorsklia', 'cs_pdt')           |     10     |
| ('ca_ancora', 'la_perseus', 'gl_treegal', 'he_htb', 'fr_gsd', 'fr_spoken', 'sl_sst', 'cs_pdt', 'it_isdt', 'ko_kaist')           |     10     |
| ('ru_taiga', 'bxr_bdt', 'gl_ctg', 'cs_pdt', 'no_bokmaal', 'fo_oft', 'hsb_ufal', 'cs_pud', 'la_perseus', 'ja_gsd')               |     10     |
| ('fi_tdt', 'sv_pud', 'nl_lassysmall', 'sl_sst', 'cs_pdt', 'en_pud', 'nl_alpino', 'pcm_nsc', 'gl_treegal', 'cs_cac')             |     10     |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                  |  Position  |
|-------------------------------------------------------------------------------------------------------------------------|------------|
| ('hsb_ufal', 'en_pud', 'zh_gsd', 'ga_idt', 'ru_syntagrus', 'th_pud', 'no_bokmaal', 'pt_bosque', 'gl_ctg', 'gl_treegal') |     12     |
| ('en_pud', 'ro_rrt', 'cs_pdt', 'la_perseus', 'cs_cac', 'ja_modern', 'ga_idt', 'hsb_ufal', 'ja_gsd', 'hi_hdtb')          |     12     |
| ('zh_gsd', 'ja_gsd', 'hsb_ufal', 'en_pud', 'cs_pdt', 'vi_vtb', 'gl_treegal', 'cs_cac', 'sl_sst', 'kk_ktb')              |     12     |
| ('ja_gsd', 'ca_ancora', 'pt_bosque', 'kmr_mg', 'th_pud', 'hsb_ufal', 'la_perseus', 'hr_set', 'ur_udtb', 'en_pud')       |     11     |
| ('gl_ctg', 'ga_idt', 'en_pud', 'sv_pud', 'cs_cac', 'zh_gsd', 'hsb_ufal', 'vi_vtb', 'ro_rrt', 'it_isdt')                 |     11     |
| ('pl_lfg', 'en_pud', 'th_pud', 'la_perseus', 'sl_sst', 'kmr_mg', 'fr_gsd', 'kk_ktb', 'ca_ancora', 'cs_pdt')             |     11     |
| ('pt_bosque', 'en_pud', 'ro_rrt', 'ur_udtb', 'ja_gsd', 'hsb_ufal', 'es_ancora', 'lv_lvtb', 'ru_syntagrus', 'ca_ancora') |     11     |
| ('hsb_ufal', 'ga_idt', 'fi_ftb', 'cs_fictree', 'zh_gsd', 'en_pud', 'ja_gsd', 'ca_ancora', 'fr_spoken', 'it_isdt')       |     11     |
| ('ar_padt', 'fr_spoken', 'fr_gsd', 'ga_idt', 'ja_gsd', 'gl_treegal', 'no_bokmaal', 'en_pud', 'pl_lfg', 'en_ewt')        |     11     |
| ('zh_gsd', 'no_nynorsk', 'en_pud', 'nl_alpino', 'cs_pud', 'ja_gsd', 'hsb_ufal', 'la_perseus', 'ur_udtb', 'ga_idt')      |     11     |

INFO: Showing outliers for UAS

| Subset                                                                                                                                |  Position  |
|---------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('it_postwita', 'la_perseus', 'hsb_ufal', 'ga_idt', 'en_pud', 'gl_treegal', 'pcm_nsc', 'sl_sst', 'id_gsd', 'ro_rrt')                  |     14     |
| ('pcm_nsc', 'la_perseus', 'hsb_ufal', 'id_gsd', 'he_htb', 'en_pud', 'gl_treegal', 'no_nynorsklia', 'tr_imst', 'ga_idt')               |     14     |
| ('tr_imst', 'hr_set', 'hsb_ufal', 'ar_padt', 'fr_gsd', 'en_pud', 'he_htb', 'pt_bosque', 'sl_sst', 'el_gdt')                           |     13     |
| ('hsb_ufal', 'uk_iu', 'gl_treegal', 'vi_vtb', 'cu_proiel', 'ug_udt', 'el_gdt', 'sl_ssj', 'it_postwita', 'sl_sst')                     |     13     |
| ('gl_ctg', 'kmr_mg', 'en_pud', 'ca_ancora', 'vi_vtb', 'hi_hdtb', 'ar_padt', 'zh_gsd', 'hsb_ufal', 'ro_rrt')                           |     13     |
| ('no_bokmaal', 'no_nynorsklia', 'hsb_ufal', 'it_postwita', 'it_isdt', 'la_perseus', 'ro_rrt', 'no_nynorsk', 'he_htb', 'af_afribooms') |     13     |
| ('sl_sst', 'nl_alpino', 'hi_hdtb', 'nl_lassysmall', 'en_pud', 'it_postwita', 'grc_proiel', 'it_isdt', 'hsb_ufal', 'sv_talbanken')     |     13     |
| ('ru_syntagrus', 'pt_bosque', 'af_afribooms', 'it_postwita', 'vi_vtb', 'hsb_ufal', 'he_htb', 'ga_idt', 'ro_rrt', 'en_pud')            |     13     |
| ('la_ittb', 'sl_sst', 'ar_padt', 'cs_pdt', 'uk_iu', 'en_pud', 'ro_rrt', 'hsb_ufal', 'de_gsd', 'ja_gsd')                               |     13     |
| ('ro_rrt', 'hsb_ufal', 'ja_gsd', 'it_postwita', 'fr_gsd', 'ru_syntagrus', 'la_perseus', 'ug_udt', 'vi_vtb', 'nl_lassysmall')          |     13     |

INFO: Showing outliers for CLAS

| Subset                                                                                                                   |  Position  |
|--------------------------------------------------------------------------------------------------------------------------|------------|
| ('bxr_bdt', 'et_edt', 'en_pud', 'it_isdt', 'hsb_ufal', 'ar_padt', 'sl_sst', 'ga_idt', 'cs_pdt', 'sr_set')                |     13     |
| ('he_htb', 'en_pud', 'it_postwita', 'pt_bosque', 'la_ittb', 'hsb_ufal', 'sl_sst', 'ga_idt', 'ru_syntagrus', 'kk_ktb')    |     13     |
| ('th_pud', 'cs_pdt', 'bxr_bdt', 'hsb_ufal', 'it_postwita', 'ru_syntagrus', 'fi_ftb', 'it_isdt', 'ga_idt', 'en_pud')      |     13     |
| ('ja_gsd', 'fr_gsd', 'kmr_mg', 'la_perseus', 'nl_alpino', 'hsb_ufal', 'bxr_bdt', 'grc_proiel', 'ur_udtb', 'cs_cac')      |     13     |
| ('en_pud', 'th_pud', 'sv_talbanken', 'ga_idt', 'fa_seraji', 'id_gsd', 'hsb_ufal', 'cs_pud', 'sl_sst', 'it_postwita')     |     13     |
| ('bg_btb', 'sl_sst', 'ja_gsd', 'ru_syntagrus', 'ko_kaist', 'no_bokmaal', 'de_gsd', 'it_postwita', 'hsb_ufal', 'en_pud')  |     13     |
| ('sl_sst', 'pt_bosque', 'fr_gsd', 'th_pud', 'en_pud', 'hsb_ufal', 'ro_rrt', 'ko_kaist', 'it_postwita', 'ja_gsd')         |     13     |
