INFO: Obtaining the 10 worst outliers for parser Fudan (Shanghai) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
| ('el_gdt', 'pl_sz', 'he_htb', 'ja_gsd', 'ca_ancora', 'pcm_nsc', 'nl_alpino', 'sv_talbanken', 'gl_ctg', 'cs_pud')           |     22     |
| ('pcm_nsc', 'ca_ancora', 'hu_szeged', 'ko_gsd', 'en_gum', 'it_isdt', 'nl_lassysmall', 'no_nynorsklia', 'kk_ktb', 'el_gdt') |     22     |
| ('en_ewt', 'gl_ctg', 'sl_sst', 'vi_vtb', 'pcm_nsc', 'cs_fictree', 'pl_lfg', 'cs_cac', 'kk_ktb', 'nl_lassysmall')           |     22     |
| ('gl_treegal', 'cs_pud', 'bg_btb', 'it_isdt', 'da_ddt', 'fi_ftb', 'ko_kaist', 'hi_hdtb', 'sl_sst', 'kk_ktb')               |     22     |
| ('cs_pud', 'th_pud', 'tr_imst', 'it_isdt', 'ko_kaist', 'pcm_nsc', 'kk_ktb', 'hi_hdtb', 'la_ittb', 'br_keb')                |     22     |
| ('ar_padt', 'gl_treegal', 'sl_sst', 'bg_btb', 'gl_ctg', 'kk_ktb', 'sr_set', 'pcm_nsc', 'fa_seraji', 'fi_ftb')              |     22     |
| ('fr_sequoia', 'pt_bosque', 'gl_ctg', 'fi_ftb', 'fr_gsd', 'fa_seraji', 'fo_oft', 'kk_ktb', 'cs_pud', 'tr_imst')            |     22     |
| ('cs_cac', 'hr_set', 'la_ittb', 'kk_ktb', 'fi_ftb', 'ar_padt', 'cs_pud', 'no_bokmaal', 'gl_treegal', 'sl_sst')             |     22     |
| ('cs_pud', 'sl_sst', 'es_ancora', 'hi_hdtb', 'ur_udtb', 'kk_ktb', 'cs_cac', 'fa_seraji', 'pl_sz', 'fr_spoken')             |     22     |
| ('no_bokmaal', 'br_keb', 'ar_padt', 'fa_seraji', 'en_gum', 'ca_ancora', 'it_isdt', 'sl_sst', 'pcm_nsc', 'kk_ktb')          |     22     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                              |  Position  |
|---------------------------------------------------------------------------------------------------------------------|------------|
| ('fo_oft', 'hsb_ufal', 'fr_spoken', 'kk_ktb', 'cs_pud', 'fi_ftb', 'th_pud', 'pcm_nsc', 'sl_sst', 'sv_lines')        |     23     |
| ('br_keb', 'fo_oft', 'pl_lfg', 'fi_ftb', 'cs_fictree', 'pl_sz', 'tr_imst', 'bxr_bdt', 'cs_pud', 'sk_snk')           |     23     |
| ('fa_seraji', 'cs_pud', 'kk_ktb', 'de_gsd', 'ja_modern', 'cs_pdt', 'bxr_bdt', 'he_htb', 'kmr_mg', 'sr_set')         |     23     |
| ('cs_pdt', 'cs_pud', 'hsb_ufal', 'la_ittb', 'sr_set', 'br_keb', 'pl_lfg', 'fi_ftb', 'kk_ktb', 'he_htb')             |     23     |
| ('de_gsd', 'cs_pdt', 'hsb_ufal', 'cs_pud', 'cs_fictree', 'hr_set', 'pl_lfg', 'bxr_bdt', 'kk_ktb', 'cs_cac')         |     23     |
| ('cs_cac', 'sv_pud', 'th_pud', 'bxr_bdt', 'kmr_mg', 'cs_pud', 'hsb_ufal', 'de_gsd', 'cs_fictree', 'br_keb')         |     23     |
| ('cs_pud', 'sk_snk', 'sv_talbanken', 'fo_oft', 'bxr_bdt', 'kmr_mg', 'hr_set', 'th_pud', 'zh_gsd', 'fr_spoken')      |     23     |
| ('sk_snk', 'fo_oft', 'fa_seraji', 'th_pud', 'ja_modern', 'cs_pud', 'gl_treegal', 'kk_ktb', 'hsb_ufal', 'fr_spoken') |     23     |
| ('sk_snk', 'fr_spoken', 'cs_pud', 'ja_modern', 'hy_armtdp', 'bxr_bdt', 'zh_gsd', 'fi_ftb', 'br_keb', 'en_lines')    |     23     |
