INFO: Obtaining the 10 worst outliers for parser KParse (İstanbul) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
| ('grc_proiel', 'br_keb', 'th_pud', 'es_ancora', 'bg_btb', 'ko_kaist', 'zh_gsd', 'got_proiel', 'it_isdt', 'la_proiel')      |     22     |
| ('hi_hdtb', 'ko_kaist', 'fro_srcmf', 'fr_gsd', 'grc_proiel', 'fo_oft', 'ca_ancora', 'cs_pdt', 'th_pud', 'no_nynorsk')      |     22     |
| ('cs_cac', 'el_gdt', 'id_gsd', 'fo_oft', 'th_pud', 'fr_gsd', 'cs_pdt', 'grc_proiel', 'hi_hdtb', 'pt_bosque')               |     22     |
| ('la_proiel', 'cs_cac', 'el_gdt', 'got_proiel', 'id_gsd', 'grc_proiel', 'en_ewt', 'ca_ancora', 'br_keb', 'fi_ftb')         |     22     |
| ('got_proiel', 'ja_gsd', 'th_pud', 'cs_fictree', 'grc_proiel', 'nl_alpino', 'sv_talbanken', 'br_keb', 'vi_vtb', 'he_htb')  |     22     |
| ('bg_btb', 'sl_sst', 'fro_srcmf', 'grc_perseus', 'br_keb', 'fo_oft', 'sk_snk', 'cs_pdt', 'ko_gsd', 'got_proiel')           |     22     |
| ('sr_set', 'hi_hdtb', 'br_keb', 'no_bokmaal', 'got_proiel', 'cs_cac', 'bg_btb', 'th_pud', 'ko_kaist', 'fo_oft')            |     22     |
| ('cu_proiel', 'pl_lfg', 'vi_vtb', 'cs_fictree', 'fi_ftb', 'fo_oft', 'es_ancora', 'grc_perseus', 'cs_pdt', 'grc_proiel')    |     22     |
| ('bxr_bdt', 'br_keb', 'got_proiel', 'ar_padt', 'cs_fictree', 'grc_proiel', 'fr_sequoia', 'vi_vtb', 'sme_giella', 'fo_oft') |     22     |
| ('pl_lfg', 'id_gsd', 'la_proiel', 'ko_gsd', 'sme_giella', 'ar_padt', 'grc_proiel', 'fo_oft', 'got_proiel', 'cu_proiel')    |     22     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                             |  Position  |
|------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('pt_bosque', 'got_proiel', 'sme_giella', 'hsb_ufal', 'fo_oft', 'sv_talbanken', 'no_nynorsk', 'hi_hdtb', 'cu_proiel', 'ca_ancora') |     21     |
| ('es_ancora', 'sme_giella', 'th_pud', 'id_gsd', 'el_gdt', 'got_proiel', 'grc_proiel', 'sk_snk', 'hsb_ufal', 'nl_alpino')           |     21     |
| ('fo_oft', 'fr_gsd', 'got_proiel', 'cu_proiel', 'fro_srcmf', 'ug_udt', 'sv_lines', 'hu_szeged', 'pl_lfg', 'el_gdt')                |     21     |
| ('la_ittb', 'br_keb', 'pl_lfg', 'en_gum', 'got_proiel', 'bxr_bdt', 'cu_proiel', 'fi_ftb', 'ur_udtb', 'sk_snk')                     |     21     |
| ('it_isdt', 'fo_oft', 'pt_bosque', 'grc_proiel', 'got_proiel', 'hu_szeged', 'kk_ktb', 'sk_snk', 'ur_udtb', 'pcm_nsc')              |     21     |
| ('got_proiel', 'nl_lassysmall', 'sme_giella', 'ur_udtb', 'da_ddt', 'fi_ftb', 'cu_proiel', 'bxr_bdt', 'cs_pdt', 'hu_szeged')        |     21     |
| ('fi_ftb', 'hu_szeged', 'el_gdt', 'pl_sz', 'he_htb', 'got_proiel', 'pcm_nsc', 'bxr_bdt', 'sk_snk', 'sme_giella')                   |     21     |
| ('pcm_nsc', 'fi_ftb', 'got_proiel', 'he_htb', 'sme_giella', 'hu_szeged', 'fr_gsd', 'hsb_ufal', 'cu_proiel', 'sl_sst')              |     21     |
| ('sme_giella', 'got_proiel', 'ur_udtb', 'cu_proiel', 'la_ittb', 'no_nynorsk', 'br_keb', 'no_bokmaal', 'pcm_nsc', 'id_gsd')         |     21     |
| ('cu_proiel', 'bxr_bdt', 'th_pud', 'sk_snk', 'la_ittb', 'id_gsd', 'pl_sz', 'ar_padt', 'got_proiel', 'hsb_ufal')                    |     21     |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
