INFO: Obtaining the 10 worst outliers for parser LeisureX (Shanghai) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                  |  Position  |
|-------------------------------------------------------------------------------------------------------------------------|------------|
| ('fi_pud', 'hsb_ufal', 'grc_perseus', 'zh_gsd', 'ur_udtb', 'it_postwita', 'got_proiel', 'ru_taiga', 'en_pud', 'cs_pud') |     20     |
| ('pl_sz', 'hu_szeged', 'fi_tdt', 'bxr_bdt', 'ru_taiga', 'br_keb', 'ar_padt', 'et_edt', 'fi_pud', 'ga_idt')              |     20     |
| ('got_proiel', 'ja_gsd', 'hr_set', 'fr_gsd', 'th_pud', 'fi_pud', 'eu_bdt', 'en_lines', 'pcm_nsc', 'ru_syntagrus')       |     20     |
| ('sv_pud', 'no_nynorsklia', 'hy_armtdp', 'hr_set', 'en_gum', 'th_pud', 'fi_pud', 'da_ddt', 'sv_talbanken', 'es_ancora') |     20     |
| ('el_gdt', 'zh_gsd', 'la_perseus', 'sr_set', 'hsb_ufal', 'cs_pdt', 'kmr_mg', 'bxr_bdt', 'fi_pud', 'vi_vtb')             |     20     |
| ('fi_pud', 'la_proiel', 'eu_bdt', 'br_keb', 'ja_gsd', 'hy_armtdp', 'pl_lfg', 'ja_modern', 'en_pud', 'fi_tdt')           |     20     |
| ('el_gdt', 'fro_srcmf', 'en_lines', 'gl_treegal', 'ur_udtb', 'fi_pud', 'cs_pud', 'sv_pud', 'fi_ftb', 'fo_oft')          |     20     |
| ('sl_sst', 'sr_set', 'et_edt', 'fr_sequoia', 'bg_btb', 'th_pud', 'de_gsd', 'fi_pud', 'nl_lassysmall', 'kmr_mg')         |     20     |
| ('fr_gsd', 'uk_iu', 'cs_pdt', 'fo_oft', 'la_perseus', 'sme_giella', 'hy_armtdp', 'ja_gsd', 'en_gum', 'fi_pud')          |     20     |
| ('it_isdt', 'fr_sequoia', 'ru_taiga', 'zh_gsd', 'ro_rrt', 'sv_pud', 'fa_seraji', 'fo_oft', 'af_afribooms', 'fi_pud')    |     20     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                              |  Position  |
|---------------------------------------------------------------------------------------------------------------------|------------|
| ('pl_sz', 'hsb_ufal', 'pl_lfg', 'cs_pud', 'fi_tdt', 'sv_lines', 'br_keb', 'fi_pud', 'th_pud', 'ur_udtb')            |     22     |
| ('cs_pud', 'cs_cac', 'sr_set', 'hsb_ufal', 'fi_pud', 'fi_ftb', 'sv_pud', 'bxr_bdt', 'uk_iu', 'hr_set')              |     22     |
| ('fi_pud', 'id_gsd', 'ur_udtb', 'la_proiel', 'hsb_ufal', 'he_htb', 'sl_ssj', 'nl_lassysmall', 'cs_pud', 'sv_pud')   |     21     |
| ('fo_oft', 'fr_sequoia', 'lv_lvtb', 'hsb_ufal', 'fi_pud', 'got_proiel', 'cs_fictree', 'el_gdt', 'en_gum', 'cs_pud') |     21     |
| ('ar_padt', 'fi_pud', 'kk_ktb', 'bxr_bdt', 'la_proiel', 'hsb_ufal', 'uk_iu', 'hu_szeged', 'cs_cac', 'ur_udtb')      |     21     |
| ('he_htb', 'sk_snk', 'fr_spoken', 'fi_pud', 'hsb_ufal', 'uk_iu', 'grc_perseus', 'pcm_nsc', 'kmr_mg', 'el_gdt')      |     21     |
| ('kmr_mg', 'ja_modern', 'hy_armtdp', 'pcm_nsc', 'hsb_ufal', 'hu_szeged', 'fi_pud', 'bxr_bdt', 'en_gum', 'cs_pdt')   |     21     |
| ('sv_pud', 'da_ddt', 'el_gdt', 'id_gsd', 'fi_pud', 'sk_snk', 'sl_ssj', 'pl_lfg', 'he_htb', 'pl_sz')                 |     21     |
| ('pl_lfg', 'it_isdt', 'sk_snk', 'br_keb', 'el_gdt', 'uk_iu', 'fi_pud', 'sv_lines', 'ja_modern', 'pl_sz')            |     21     |
| ('uk_iu', 'hsb_ufal', 'br_keb', 'de_gsd', 'fi_ftb', 'fi_pud', 'it_postwita', 'id_gsd', 'it_isdt', 'pl_sz')          |     21     |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                      |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------|------------|
| ('zh_gsd', 'uk_iu', 'no_nynorsklia', 'ug_udt', 'et_edt', 'af_afribooms', 'it_postwita', 'hsb_ufal', 'fi_pud', 'fo_oft')     |     18     |
| ('pl_sz', 'hy_armtdp', 'vi_vtb', 'hu_szeged', 'br_keb', 'fa_seraji', 'no_nynorsklia', 'cu_proiel', 'fi_pud', 'lv_lvtb')     |     18     |
| ('fi_pud', 'br_keb', 'kmr_mg', 'hsb_ufal', 'lv_lvtb', 'hy_armtdp', 'th_pud', 'fr_sequoia', 'ro_rrt', 'sv_lines')            |     18     |
| ('pcm_nsc', 'no_nynorsklia', 'he_htb', 'ja_modern', 'fi_pud', 'th_pud', 'ru_syntagrus', 'sl_ssj', 'zh_gsd', 'la_perseus')   |     18     |
