INFO: Obtaining the 10 worst outliers for parser SLT-Interactions (Bengaluru) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                            |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('cs_fictree', 'fro_srcmf', 'hy_armtdp', 'nl_lassysmall', 'kmr_mg', 'ru_taiga', 'nl_alpino', 'es_ancora', 'cs_cac', 'sme_giella') |     23     |
| ('pcm_nsc', 'nl_lassysmall', 'el_gdt', 'bxr_bdt', 'fro_srcmf', 'hy_armtdp', 'zh_gsd', 'bg_btb', 'br_keb', 'sme_giella')           |     23     |
| ('el_gdt', 'fro_srcmf', 'bxr_bdt', 'sk_snk', 'pcm_nsc', 'hy_armtdp', 'sr_set', 'af_afribooms', 'cs_cac', 'sme_giella')            |     23     |
| ('hr_set', 'fa_seraji', 'pl_lfg', 'kmr_mg', 'de_gsd', 'hy_armtdp', 'nl_alpino', 'th_pud', 'sme_giella', 'fro_srcmf')              |     23     |
| ('fa_seraji', 'sme_giella', 'kmr_mg', 'hy_armtdp', 'la_proiel', 'de_gsd', 'pt_bosque', 'fro_srcmf', 'sr_set', 'th_pud')           |     23     |
| ('fro_srcmf', 'kk_ktb', 'sme_giella', 'ur_udtb', 'el_gdt', 'en_gum', 'bxr_bdt', 'nl_alpino', 'kmr_mg', 'ja_gsd')                  |     23     |
| ('sme_giella', 'fro_srcmf', 'en_ewt', 'pl_sz', 'id_gsd', 'ja_gsd', 'cs_pdt', 'nl_alpino', 'hy_armtdp', 'kmr_mg')                  |     23     |
| ('sme_giella', 'kmr_mg', 'en_lines', 'fro_srcmf', 'ur_udtb', 'nl_lassysmall', 'fr_spoken', 'kk_ktb', 'en_gum', 'hr_set')          |     23     |
| ('gl_ctg', 'bxr_bdt', 'sme_giella', 'fr_spoken', 'af_afribooms', 'br_keb', 'hy_armtdp', 'sv_lines', 'fro_srcmf', 'el_gdt')        |     23     |
| ('sme_giella', 'fro_srcmf', 'eu_bdt', 'en_lines', 'pcm_nsc', 'bxr_bdt', 'hi_hdtb', 'hy_armtdp', 'pt_bosque', 'id_gsd')            |     23     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                    |  Position  |
|---------------------------------------------------------------------------------------------------------------------------|------------|
| ('kmr_mg', 'ja_gsd', 'fro_srcmf', 'pcm_nsc', 'ro_rrt', 'sme_giella', 'cs_cac', 'br_keb', 'hr_set', 'ur_udtb')             |     23     |
| ('kk_ktb', 'la_perseus', 'zh_gsd', 'sme_giella', 'bxr_bdt', 'sk_snk', 'fro_srcmf', 'ar_padt', 'ja_gsd', 'cs_pdt')         |     23     |
| ('zh_gsd', 'hy_armtdp', 'sk_snk', 'kmr_mg', 'sme_giella', 'pl_sz', 'fro_srcmf', 'sr_set', 'ro_rrt', 'ar_padt')            |     23     |
| ('kmr_mg', 'kk_ktb', 'hy_armtdp', 'got_proiel', 'sk_snk', 'ru_taiga', 'cs_fictree', 'bxr_bdt', 'fro_srcmf', 'vi_vtb')     |     23     |
| ('kmr_mg', 'kk_ktb', 'ru_taiga', 'tr_imst', 'sr_set', 'ja_modern', 'en_ewt', 'fro_srcmf', 'sme_giella', 'hi_hdtb')        |     23     |
| ('ar_padt', 'hsb_ufal', 'kmr_mg', 'en_pud', 'ru_taiga', 'pl_lfg', 'bxr_bdt', 'cs_pdt', 'sme_giella', 'fro_srcmf')         |     23     |
| ('bxr_bdt', 'fro_srcmf', 'fi_pud', 'pcm_nsc', 'kmr_mg', 'sme_giella', 'ru_taiga', 'zh_gsd', 'nl_lassysmall', 'cu_proiel') |     23     |
| ('hr_set', 'sl_sst', 'ur_udtb', 'fro_srcmf', 'kk_ktb', 'tr_imst', 'hy_armtdp', 'th_pud', 'sme_giella', 'af_afribooms')    |     23     |
| ('ru_taiga', 'pt_bosque', 'fi_pud', 'hy_armtdp', 'bg_btb', 'hsb_ufal', 'th_pud', 'sme_giella', 'cs_cac', 'fro_srcmf')     |     23     |
| ('cs_pdt', 'ja_gsd', 'fi_pud', 'bxr_bdt', 'hi_hdtb', 'bg_btb', 'kk_ktb', 'ja_modern', 'sme_giella', 'fro_srcmf')          |     23     |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                      |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------|------------|
| ('cs_cac', 'kmr_mg', 'uk_iu', 'sme_giella', 'hy_armtdp', 'hi_hdtb', 'fa_seraji', 'pt_bosque', 'fro_srcmf', 'cs_pud')        |     20     |
| ('sme_giella', 'no_bokmaal', 'pcm_nsc', 'it_isdt', 'kk_ktb', 'fro_srcmf', 'fa_seraji', 'fi_ftb', 'gl_treegal', 'sv_lines')  |     20     |
| ('fr_sequoia', 'hy_armtdp', 'fro_srcmf', 'en_ewt', 'th_pud', 'hi_hdtb', 'fr_gsd', 'kk_ktb', 'bg_btb', 'cs_pdt')             |     20     |
| ('vi_vtb', 'cs_pdt', 'sme_giella', 'fo_oft', 'el_gdt', 'ur_udtb', 'fro_srcmf', 'cs_pud', 'hi_hdtb', 'cs_fictree')           |     20     |
| ('sme_giella', 'ca_ancora', 'got_proiel', 'kk_ktb', 'sv_lines', 'sl_sst', 'hu_szeged', 'ja_modern', 'hi_hdtb', 'hy_armtdp') |     20     |
| ('fro_srcmf', 'cs_cac', 'fi_ftb', 'hy_armtdp', 'es_ancora', 'sk_snk', 'de_gsd', 'sme_giella', 'hi_hdtb', 'lv_lvtb')         |     20     |
| ('fi_ftb', 'hi_hdtb', 'th_pud', 'zh_gsd', 'fo_oft', 'sk_snk', 'sme_giella', 'ca_ancora', 'fro_srcmf', 'sv_talbanken')       |     20     |
| ('fi_pud', 'vi_vtb', 'ca_ancora', 'pcm_nsc', 'sme_giella', 'cs_cac', 'grc_proiel', 'hr_set', 'fro_srcmf', 'sv_pud')         |     20     |
| ('en_ewt', 'sme_giella', 'no_bokmaal', 'pl_sz', 'fro_srcmf', 'br_keb', 'fi_pud', 'fr_gsd', 'sv_lines', 'ar_padt')           |     20     |
| ('en_gum', 'sme_giella', 'la_ittb', 'grc_perseus', 'cs_pdt', 'fi_pud', 'fro_srcmf', 'fa_seraji', 'bg_btb', 'kk_ktb')        |     20     |

INFO: Showing outliers for UAS

| Subset                                                                                                                            |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('cu_proiel', 'pcm_nsc', 'no_nynorsk', 'sv_lines', 'fr_gsd', 'el_gdt', 'sme_giella', 'pt_bosque', 'ru_taiga', 'fro_srcmf')        |     23     |
| ('en_pud', 'fro_srcmf', 'en_lines', 'sme_giella', 'no_bokmaal', 'kk_ktb', 'vi_vtb', 'nl_alpino', 'pt_bosque', 'th_pud')           |     23     |
| ('cs_cac', 'sme_giella', 'hy_armtdp', 'ur_udtb', 'grc_proiel', 'sk_snk', 'fro_srcmf', 'en_lines', 'fr_spoken', 'bg_btb')          |     23     |
| ('cs_fictree', 'fro_srcmf', 'tr_imst', 'id_gsd', 'en_ewt', 'sme_giella', 'en_lines', 'hy_armtdp', 'el_gdt', 'vi_vtb')             |     23     |
| ('he_htb', 'no_bokmaal', 'id_gsd', 'sme_giella', 'fro_srcmf', 'hr_set', 'el_gdt', 'sr_set', 'hy_armtdp', 'ur_udtb')               |     23     |
| ('hr_set', 'grc_perseus', 'cs_pdt', 'ja_gsd', 'bxr_bdt', 'fr_gsd', 'hi_hdtb', 'sme_giella', 'fro_srcmf', 'kmr_mg')                |     23     |
| ('fro_srcmf', 'sme_giella', 'bg_btb', 'ko_kaist', 'pt_bosque', 'kk_ktb', 'la_ittb', 'id_gsd', 'ca_ancora', 'cs_pud')              |     23     |
| ('fr_sequoia', 'fro_srcmf', 'la_ittb', 'no_bokmaal', 'kmr_mg', 'cs_fictree', 'he_htb', 'sl_sst', 'sme_giella', 'es_ancora')       |     23     |
| ('sme_giella', 'ar_padt', 'fro_srcmf', 'nl_alpino', 'th_pud', 'vi_vtb', 'en_ewt', 'no_nynorsk', 'eu_bdt', 'pl_lfg')               |     23     |
| ('cs_fictree', 'fro_srcmf', 'hy_armtdp', 'nl_lassysmall', 'kmr_mg', 'ru_taiga', 'nl_alpino', 'es_ancora', 'cs_cac', 'sme_giella') |     23     |

INFO: Showing outliers for CLAS

| Subset                                                                                                                       |  Position  |
|------------------------------------------------------------------------------------------------------------------------------|------------|
| ('kmr_mg', 'kk_ktb', 'sr_set', 'ja_modern', 'th_pud', 'fa_seraji', 'cs_cac', 'hy_armtdp', 'hi_hdtb', 'sme_giella')           |     23     |
| ('fro_srcmf', 'fr_gsd', 'kmr_mg', 'el_gdt', 'sme_giella', 'hy_armtdp', 'ga_idt', 'vi_vtb', 'nl_lassysmall', 'la_proiel')     |     23     |
| ('fa_seraji', 'sme_giella', 'kmr_mg', 'hy_armtdp', 'la_proiel', 'de_gsd', 'pt_bosque', 'fro_srcmf', 'sr_set', 'th_pud')      |     23     |
| ('cs_pdt', 'ur_udtb', 'got_proiel', 'kmr_mg', 'cs_fictree', 'fro_srcmf', 'fa_seraji', 'th_pud', 'hy_armtdp', 'sme_giella')   |     23     |
| ('kmr_mg', 'ja_modern', 'da_ddt', 'no_bokmaal', 'hy_armtdp', 'sme_giella', 'no_nynorsk', 'vi_vtb', 'fro_srcmf', 'bxr_bdt')   |     23     |
| ('el_gdt', 'sk_snk', 'it_isdt', 'br_keb', 'ja_modern', 'sme_giella', 'en_lines', 'kmr_mg', 'hy_armtdp', 'fro_srcmf')         |     23     |
| ('fro_srcmf', 'hy_armtdp', 'en_ewt', 'hu_szeged', 'kmr_mg', 'gl_ctg', 'th_pud', 'sme_giella', 'he_htb', 'no_bokmaal')        |     23     |
| ('sme_giella', 'id_gsd', 'en_gum', 'kmr_mg', 'fro_srcmf', 'he_htb', 'it_isdt', 'ja_modern', 'af_afribooms', 'hy_armtdp')     |     23     |
| ('fro_srcmf', 'kk_ktb', 'en_lines', 'id_gsd', 'hy_armtdp', 'sr_set', 'kmr_mg', 'pcm_nsc', 'sme_giella', 'grc_proiel')        |     23     |
| ('sr_set', 'kmr_mg', 'hy_armtdp', 'he_htb', 'ca_ancora', 'got_proiel', 'fro_srcmf', 'sme_giella', 'nl_lassysmall', 'sl_sst') |     23     |

INFO: Showing outliers for UPOS tagging

| Subset                                                                                                                                |  Position  |
|---------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('fro_srcmf', 'hy_armtdp', 'bg_btb', 'grc_perseus', 'ur_udtb', 'it_isdt', 'vi_vtb', 'el_gdt', 'pl_lfg', 'ja_gsd')                     |     25     |
| ('sr_set', 'ru_taiga', 'es_ancora', 'hi_hdtb', 'eu_bdt', 'fr_gsd', 'la_proiel', 'hy_armtdp', 'ko_kaist', 'la_ittb')                   |     25     |
| ('fa_seraji', 'hy_armtdp', 'cs_cac', 'got_proiel', 'cs_fictree', 'en_gum', 'pt_bosque', 'pl_lfg', 'cs_pdt', 'hu_szeged')              |     25     |
| ('gl_treegal', 'fro_srcmf', 'af_afribooms', 'sk_snk', 'hr_set', 'hu_szeged', 'nl_lassysmall', 'hy_armtdp', 'da_ddt', 'zh_gsd')        |     25     |
| ('got_proiel', 'sv_talbanken', 'sv_lines', 'hy_armtdp', 'gl_treegal', 'hu_szeged', 'fro_srcmf', 'vi_vtb', 'tr_imst', 'nl_lassysmall') |     25     |
| ('nl_lassysmall', 'grc_proiel', 'cs_pdt', 'zh_gsd', 'ja_gsd', 'hr_set', 'sr_set', 'cs_fictree', 'hy_armtdp', 'en_ewt')                |     25     |
| ('ru_taiga', 'id_gsd', 'bg_btb', 'hi_hdtb', 'hy_armtdp', 'cs_pdt', 'grc_proiel', 'ko_gsd', 'fro_srcmf', 'ca_ancora')                  |     25     |
| ('pt_bosque', 'nl_lassysmall', 'la_ittb', 'de_gsd', 'th_pud', 'vi_vtb', 'zh_gsd', 'cs_cac', 'ca_ancora', 'hy_armtdp')                 |     25     |
| ('grc_proiel', 'hy_armtdp', 'la_proiel', 'id_gsd', 'ca_ancora', 'es_ancora', 'eu_bdt', 'cs_pdt', 'pl_sz', 'tr_imst')                  |     25     |
| ('hy_armtdp', 'fa_seraji', 'ca_ancora', 'fr_spoken', 'fro_srcmf', 'hr_set', 'da_ddt', 'ru_taiga', 'sl_sst', 'gl_treegal')             |     25     |

INFO: Showing outliers for XPOS tagging

| Subset                                                                                                                    |  Position  |
|---------------------------------------------------------------------------------------------------------------------------|------------|
| ('fi_pud', 'en_lines', 'zh_gsd', 'fo_oft', 'fr_spoken', 'br_keb', 'cs_pdt', 'fr_sequoia', 'th_pud', 'bg_btb')             |     23     |
| ('fo_oft', 'pt_bosque', 'fi_pud', 'zh_gsd', 'fr_sequoia', 'ru_taiga', 'nl_alpino', 'fr_spoken', 'th_pud', 'ru_syntagrus') |     23     |
| ('ja_gsd', 'br_keb', 'hr_set', 'fi_pud', 'pt_bosque', 'en_lines', 'da_ddt', 'fo_oft', 'zh_gsd', 'ru_syntagrus')           |     23     |
| ('sr_set', 'af_afribooms', 'zh_gsd', 'kk_ktb', 'fr_gsd', 'pt_bosque', 'ja_modern', 'cs_pdt', 'fi_pud', 'fr_spoken')       |     23     |
| ('fi_pud', 'la_perseus', 'br_keb', 'eu_bdt', 'zh_gsd', 'sk_snk', 'he_htb', 'fo_oft', 'sr_set', 'fr_sequoia')              |     23     |
| ('zh_gsd', 'hr_set', 'fi_pud', 'eu_bdt', 'fr_sequoia', 'ru_taiga', 'pt_bosque', 'grc_proiel', 'de_gsd', 'hy_armtdp')      |     23     |
| ('grc_proiel', 'sr_set', 'ru_taiga', 'he_htb', 'da_ddt', 'br_keb', 'ja_gsd', 'fr_sequoia', 'fi_pud', 'zh_gsd')            |     23     |
| ('fo_oft', 'fr_sequoia', 'af_afribooms', 'fi_pud', 'ru_taiga', 'hr_set', 'zh_gsd', 'cs_pdt', 'lv_lvtb', 'pt_bosque')      |     23     |
| ('fi_pud', 'pt_bosque', 'br_keb', 'ru_taiga', 'ko_kaist', 'eu_bdt', 'fr_sequoia', 'ja_gsd', 'zh_gsd', 'en_lines')         |     23     |
