INFO: Obtaining the 10 worst outliers for parser UDPipe Future (Praha) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                |  Position  |
|-----------------------------------------------------------------------------------------------------------------------|------------|
| ('pl_sz', 'es_ancora', 'br_keb', 'it_postwita', 'th_pud', 'he_htb', 'pcm_nsc', 'bxr_bdt', 'hsb_ufal', 'ca_ancora')    |     12     |
| ('bxr_bdt', 'la_ittb', 'hsb_ufal', 'pcm_nsc', 'th_pud', 'ro_rrt', 'br_keb', 'no_bokmaal', 'sl_ssj', 'sv_pud')         |     12     |
| ('zh_gsd', 'kk_ktb', 'th_pud', 'pcm_nsc', 'cs_pud', 'it_postwita', 'en_lines', 'hsb_ufal', 'pt_bosque', 'bxr_bdt')    |     12     |
| ('hsb_ufal', 'es_ancora', 'th_pud', 'cs_pdt', 'bxr_bdt', 'gl_ctg', 'la_proiel', 'pcm_nsc', 'id_gsd', 'br_keb')        |     12     |
| ('br_keb', 'hsb_ufal', 'de_gsd', 'ja_modern', 'pcm_nsc', 'fr_gsd', 'he_htb', 'hi_hdtb', 'sv_lines', 'bxr_bdt')        |     12     |
| ('bg_btb', 'ko_kaist', 'br_keb', 'pcm_nsc', 'sl_sst', 'el_gdt', 'bxr_bdt', 'hsb_ufal', 'en_lines', 'th_pud')          |     11     |
| ('hsb_ufal', 'pcm_nsc', 'fr_spoken', 'ru_taiga', 'ja_gsd', 'en_lines', 'hi_hdtb', 'grc_perseus', 'he_htb', 'bxr_bdt') |     11     |
| ('hi_hdtb', 'hsb_ufal', 'es_ancora', 'tr_imst', 'en_gum', 'pcm_nsc', 'cs_cac', 'nl_lassysmall', 'sl_ssj', 'ur_udtb')  |     11     |
| ('zh_gsd', 'gl_ctg', 'hsb_ufal', 'pcm_nsc', 'la_proiel', 'hi_hdtb', 'da_ddt', 'en_lines', 'en_ewt', 'sv_lines')       |     11     |
| ('fa_seraji', 'hsb_ufal', 'fr_gsd', 'id_gsd', 'ru_taiga', 'bxr_bdt', 'pt_bosque', 'sl_ssj', 'de_gsd', 'pcm_nsc')      |     11     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
| ('en_pud', 'tr_imst', 'br_keb', 'ja_modern', 'hy_armtdp', 'th_pud', 'sl_sst', 'kmr_mg', 'en_lines', 'ko_gsd')              |     8      |
| ('la_proiel', 'sv_pud', 'ko_kaist', 'kmr_mg', 'fr_spoken', 'br_keb', 'fr_gsd', 'hy_armtdp', 'en_lines', 'ja_modern')       |     8      |
| ('en_lines', 'zh_gsd', 'eu_bdt', 'br_keb', 'no_nynorsklia', 'it_isdt', 'kmr_mg', 'en_ewt', 'hy_armtdp', 'ja_modern')       |     8      |
| ('th_pud', 'bxr_bdt', 'ko_kaist', 'ja_modern', 'hy_armtdp', 'ja_gsd', 'ur_udtb', 'fr_gsd', 'br_keb', 'no_nynorsklia')      |     8      |
| ('hy_armtdp', 'ru_taiga', 'ja_gsd', 'gl_ctg', 'fo_oft', 'kmr_mg', 'hsb_ufal', 'fr_gsd', 'sv_lines', 'la_ittb')             |     8      |
| ('ru_taiga', 'br_keb', 'hsb_ufal', 'ko_gsd', 'kmr_mg', 'ja_modern', 'id_gsd', 'fi_pud', 'pcm_nsc', 'fo_oft')               |     8      |
| ('hy_armtdp', 'hsb_ufal', 'br_keb', 'kmr_mg', 'no_bokmaal', 'id_gsd', 'ko_gsd', 'zh_gsd', 'bxr_bdt', 'sr_set')             |     8      |
| ('no_nynorsklia', 'br_keb', 'fo_oft', 'hsb_ufal', 'en_ewt', 'ur_udtb', 'hy_armtdp', 'kmr_mg', 'cs_fictree', 'es_ancora')   |     8      |
| ('hy_armtdp', 'tr_imst', 'nl_lassysmall', 'zh_gsd', 'en_lines', 'hsb_ufal', 'es_ancora', 'cs_fictree', 'kmr_mg', 'th_pud') |     8      |
| ('kmr_mg', 'en_ewt', 'en_lines', 'gl_ctg', 'no_nynorsk', 'hy_armtdp', 'pcm_nsc', 'th_pud', 'ja_gsd', 'en_gum')             |     8      |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                                 |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------------|------------|
| ('hsb_ufal', 'pcm_nsc', 'fr_spoken', 'ru_taiga', 'ja_gsd', 'en_lines', 'hi_hdtb', 'grc_perseus', 'he_htb', 'bxr_bdt')                  |     8      |
| ('fr_sequoia', 'fr_spoken', 'ja_modern', 'no_nynorsklia', 'en_lines', 'hsb_ufal', 'cs_fictree', 'nl_lassysmall', 'pcm_nsc', 'en_ewt')  |     8      |
| ('pcm_nsc', 'ja_modern', 'sv_talbanken', 'ja_gsd', 'hsb_ufal', 'en_gum', 'la_ittb', 'no_nynorsklia', 'br_keb', 'fr_spoken')            |     8      |
| ('sv_lines', 'bxr_bdt', 'ru_taiga', 'got_proiel', 'en_lines', 'kmr_mg', 'hy_armtdp', 'pcm_nsc', 'it_postwita', 'no_bokmaal')           |     8      |
| ('fr_gsd', 'kmr_mg', 'grc_perseus', 'pcm_nsc', 'en_lines', 'th_pud', 'got_proiel', 'sv_lines', 'no_nynorsklia', 'hy_armtdp')           |     8      |
| ('grc_perseus', 'grc_proiel', 'br_keb', 'pcm_nsc', 'bxr_bdt', 'fr_spoken', 'sl_sst', 'no_nynorsklia', 'nl_alpino', 'en_ewt')           |     8      |
| ('kk_ktb', 'la_proiel', 'pcm_nsc', 'it_postwita', 'nl_alpino', 'grc_proiel', 'no_nynorsklia', 'br_keb', 'bxr_bdt', 'ru_taiga')         |     8      |
| ('no_nynorsklia', 'en_lines', 'kmr_mg', 'sv_lines', 'grc_perseus', 'la_proiel', 'pcm_nsc', 'it_postwita', 'cu_proiel', 'af_afribooms') |     7      |
| ('fro_srcmf', 'ru_taiga', 'ja_modern', 'de_gsd', 'zh_gsd', 'fr_sequoia', 'pcm_nsc', 'bxr_bdt', 'pt_bosque', 'ro_rrt')                  |     7      |
| ('hy_armtdp', 'grc_perseus', 'grc_proiel', 'fr_gsd', 'pt_bosque', 'kmr_mg', 'ja_modern', 'pl_lfg', 'kk_ktb', 'pcm_nsc')                |     7      |

INFO: Showing outliers for UAS

| Subset                                                                                                              |  Position  |
|---------------------------------------------------------------------------------------------------------------------|------------|
| ('pl_sz', 'sv_lines', 'ar_padt', 'he_htb', 'th_pud', 'it_isdt', 'bxr_bdt', 'ja_gsd', 'es_ancora', 'hsb_ufal')       |     12     |
| ('bxr_bdt', 'fi_tdt', 'la_proiel', 'nl_alpino', 'ja_gsd', 'hsb_ufal', 'pt_bosque', 'pcm_nsc', 'ur_udtb', 'tr_imst') |     12     |
| ('bxr_bdt', 'lv_lvtb', 'hsb_ufal', 'fa_seraji', 'sk_snk', 'en_gum', 'af_afribooms', 'he_htb', 'ja_gsd', 'th_pud')   |     12     |
| ('el_gdt', 'it_isdt', 'et_edt', 'bxr_bdt', 'hr_set', 'hsb_ufal', 'he_htb', 'da_ddt', 'de_gsd', 'th_pud')            |     12     |
| ('sl_ssj', 'hr_set', 'tr_imst', 'hsb_ufal', 'it_postwita', 'it_isdt', 'lv_lvtb', 'en_ewt', 'bxr_bdt', 'gl_ctg')     |     12     |
| ('da_ddt', 'fi_tdt', 'zh_gsd', 'tr_imst', 'fr_gsd', 'ar_padt', 'es_ancora', 'hsb_ufal', 'hr_set', 'bxr_bdt')        |     12     |
