INFO: Obtaining the 10 worst outliers for parser UniMelb (Melbourne) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                       |  Position  |
|------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sme_giella', 'ro_rrt', 'th_pud', 'hsb_ufal', 'ja_modern', 'grc_proiel', 'pcm_nsc', 'fo_oft', 'af_afribooms', 'la_perseus') |     19     |
| ('hy_armtdp', 'el_gdt', 'en_lines', 'kmr_mg', 'th_pud', 'ru_taiga', 'ru_syntagrus', 'fa_seraji', 'hsb_ufal', 'la_perseus')   |     18     |
| ('hi_hdtb', 'fo_oft', 'ar_padt', 'hsb_ufal', 'hy_armtdp', 'pcm_nsc', 'la_proiel', 'ru_taiga', 'cu_proiel', 'grc_proiel')     |     18     |
| ('fa_seraji', 'de_gsd', 'kmr_mg', 'hsb_ufal', 'el_gdt', 'hy_armtdp', 'la_ittb', 'pcm_nsc', 'ja_gsd', 'grc_perseus')          |     18     |
| ('tr_imst', 'pt_bosque', 'hsb_ufal', 'fo_oft', 'la_ittb', 'ga_idt', 'hy_armtdp', 'bxr_bdt', 'nl_alpino', 'ru_taiga')         |     18     |
| ('af_afribooms', 'eu_bdt', 'kmr_mg', 'he_htb', 'en_ewt', 'la_perseus', 'el_gdt', 'hy_armtdp', 'fo_oft', 'hsb_ufal')          |     18     |
| ('la_perseus', 'fr_spoken', 'grc_perseus', 'ko_gsd', 'pcm_nsc', 'br_keb', 'ro_rrt', 'la_ittb', 'hsb_ufal', 'af_afribooms')   |     18     |
| ('hy_armtdp', 'hsb_ufal', 'la_ittb', 'grc_proiel', 'fro_srcmf', 'ru_taiga', 'la_perseus', 'lv_lvtb', 'sv_lines', 'pcm_nsc')  |     18     |
| ('fo_oft', 'eu_bdt', 'fr_gsd', 'ru_taiga', 'hsb_ufal', 'la_perseus', 'ja_gsd', 'kmr_mg', 'sme_giella', 'fa_seraji')          |     18     |
| ('hy_armtdp', 'hsb_ufal', 'bxr_bdt', 'br_keb', 'sl_sst', 'ru_taiga', 'la_proiel', 'tr_imst', 'grc_proiel', 'sk_snk')         |     18     |

INFO: Showing outliers for Morphology-Aware Labeled Attachment Score (MLAS)

| Subset                                                                                                                      |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------|------------|
| ('hu_szeged', 'ru_taiga', 'sr_set', 'grc_proiel', 'gl_treegal', 'kmr_mg', 'sl_sst', 'pcm_nsc', 'hy_armtdp', 'cu_proiel')    |     20     |
| ('bxr_bdt', 'cu_proiel', 'hu_szeged', 'it_isdt', 'th_pud', 'gl_treegal', 'ru_taiga', 'no_nynorsklia', 'hr_set', 'hsb_ufal') |     20     |
| ('ru_taiga', 'gl_treegal', 'eu_bdt', 'th_pud', 'hsb_ufal', 'bg_btb', 'da_ddt', 'br_keb', 'af_afribooms', 'pcm_nsc')         |     20     |
| ('ru_taiga', 'hu_szeged', 'sl_sst', 'sme_giella', 'tr_imst', 'cu_proiel', 'gl_treegal', 'bg_btb', 'el_gdt', 'ja_modern')    |     20     |
| ('hi_hdtb', 'fo_oft', 'ar_padt', 'hsb_ufal', 'hy_armtdp', 'pcm_nsc', 'la_proiel', 'ru_taiga', 'cu_proiel', 'grc_proiel')    |     20     |
| ('hy_armtdp', 'hsb_ufal', 'bxr_bdt', 'br_keb', 'sl_sst', 'ru_taiga', 'la_proiel', 'tr_imst', 'grc_proiel', 'sk_snk')        |     20     |
| ('en_gum', 'br_keb', 'bxr_bdt', 'cs_fictree', 'gl_treegal', 'cu_proiel', 'hy_armtdp', 'ru_taiga', 'hi_hdtb', 'cs_pdt')      |     20     |
| ('ur_udtb', 'fr_spoken', 'ru_taiga', 'sl_sst', 'th_pud', 'en_lines', 'bxr_bdt', 'sv_pud', 'grc_perseus', 'got_proiel')      |     20     |
| ('la_proiel', 'br_keb', 'pcm_nsc', 'ru_taiga', 'el_gdt', 'hy_armtdp', 'nl_lassysmall', 'hu_szeged', 'th_pud', 'bxr_bdt')    |     20     |
| ('fo_oft', 'grc_proiel', 'la_ittb', 'ru_taiga', 'el_gdt', 'br_keb', 'th_pud', 'hsb_ufal', 'kmr_mg', 'fa_seraji')            |     20     |

INFO: Showing outliers for Bilexical dependency score (BLEX)

| Subset                                                                                                                       |  Position  |
|------------------------------------------------------------------------------------------------------------------------------|------------|
| ('sr_set', 'kmr_mg', 'da_ddt', 'cu_proiel', 'br_keb', 'hsb_ufal', 'la_perseus', 'fo_oft', 'hy_armtdp', 'ru_taiga')           |     16     |
| ('fro_srcmf', 'bxr_bdt', 'la_perseus', 'fo_oft', 'ru_taiga', 'ur_udtb', 'cs_cac', 'pcm_nsc', 'hsb_ufal', 'la_ittb')          |     15     |
