UDPipe Future (Praha),software1-P,51.9
TurkuNLP (Turku),software1-P,51.6
Stanford (Stanford),software2,51.46
NLP-Cube (București),software1-P,50.78
AntNLP (Shanghai),software1-P,50.32
BASELINE UDPipe 1.2 (Praha),software1-P,50.32
BOUN (İstanbul),software2-P,50.32
CUNI x-ling (Praha),software1-P,50.32
HUJI (Yerushalayim),software1-P,50.32
KParse (İstanbul),software1-P,50.32
ParisNLP (Paris),software1-P,50.32
iParse (Pittsburgh),software1-P,50.32
LATTICE (Paris),software1-P,49.78
SLT-Interactions (Bengaluru),software2-P,49.71
ICS PAS (Warszawa),software1-P,49.47
UniMelb (Melbourne),software1-P,49.29
Phoenix (Shanghai),software1-P,47.41
Fudan (Shanghai),software5-P,45.23
HIT-SCIR (Harbin),software1-P,35.43
LeisureX (Shanghai),software1-P,34.68
CEA LIST (Paris),software1-P,34.54
IBM NY (Yorktown Heights),software1-P,33.85
Uppsala (Uppsala),software1-P,19.11
ArmParser (Yerevan),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
