Stanford (Stanford),software2,90.55
UDPipe Future (Praha),software1-P,87.38
TurkuNLP (Turku),software1-P,86.98
NLP-Cube (București),software1-P,83.35
AntNLP (Shanghai),software1-P,83.0
BASELINE UDPipe 1.2 (Praha),software1-P,83.0
BOUN (İstanbul),software2-P,83.0
CUNI x-ling (Praha),software1-P,83.0
Fudan (Shanghai),software5-P,83.0
LeisureX (Shanghai),software1-P,83.0
Phoenix (Shanghai),software1-P,83.0
iParse (Pittsburgh),software1-P,83.0
SLT-Interactions (Bengaluru),software2-P,82.33
ParisNLP (Paris),software1-P,82.32
UniMelb (Melbourne),software1-P,82.1
LATTICE (Paris),software1-P,82.01
HIT-SCIR (Harbin),software1-P,81.54
ICS PAS (Warszawa),software1-P,81.15
CEA LIST (Paris),software1-P,81.14
ArmParser (Yerevan),software1-P,80.33
KParse (İstanbul),software1-P,80.3
HUJI (Yerushalayim),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
