UDPipe Future (Praha),software1-P,96.37
TurkuNLP (Turku),software1-P,95.76
Stanford (Stanford),software2,95.13
NLP-Cube (București),software1-P,94.18
AntNLP (Shanghai),software1-P,94.01
BASELINE UDPipe 1.2 (Praha),software1-P,94.01
BOUN (İstanbul),software2-P,94.01
CUNI x-ling (Praha),software1-P,94.01
Fudan (Shanghai),software5-P,94.01
HUJI (Yerushalayim),software1-P,94.01
LeisureX (Shanghai),software1-P,94.01
ParisNLP (Paris),software1-P,94.01
Phoenix (Shanghai),software1-P,94.01
iParse (Pittsburgh),software1-P,94.01
HIT-SCIR (Harbin),software1-P,93.77
SLT-Interactions (Bengaluru),software2-P,93.69
CEA LIST (Paris),software1-P,93.48
LATTICE (Paris),software1-P,93.38
UniMelb (Melbourne),software1-P,93.32
ArmParser (Yerevan),software1-P,93.13
ICS PAS (Warszawa),software1-P,92.92
KParse (İstanbul),software1-P,92.44
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
