CUNI x-ling (Praha),software1-P,32.76
AntNLP (Shanghai),software1-P,30.0
BASELINE UDPipe 1.2 (Praha),software1-P,30.0
BOUN (İstanbul),software2-P,30.0
CEA LIST (Paris),software1-P,30.0
HUJI (Yerushalayim),software1-P,30.0
LeisureX (Shanghai),software1-P,30.0
ParisNLP (Paris),software1-P,30.0
Phoenix (Shanghai),software1-P,30.0
UDPipe Future (Praha),software1-P,30.0
UniMelb (Melbourne),software1-P,30.0
iParse (Pittsburgh),software1-P,30.0
LATTICE (Paris),software1-P,26.22
Uppsala (Uppsala),software1-P,26.17
Stanford (Stanford),software2,24.27
SLT-Interactions (Bengaluru),software2-P,23.67
TurkuNLP (Turku),software1-P,22.56
ICS PAS (Warszawa),software1-P,22.52
KParse (İstanbul),software1-P,22.29
HIT-SCIR (Harbin),software1-P,17.6
NLP-Cube (București),software1-P,16.97
IBM NY (Yorktown Heights),software1-P,7.74
ArmParser (Yerevan),software1-P,0.0
Fudan (Shanghai),software5-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
