UDPipe Future (Praha),software1-P,97.81
Stanford (Stanford),software2,97.3
NLP-Cube (București),software1-P,96.91
HIT-SCIR (Harbin),software1-P,96.76
AntNLP (Shanghai),software1-P,96.64
BASELINE UDPipe 1.2 (Praha),software1-P,96.64
BOUN (İstanbul),software2-P,96.64
CUNI x-ling (Praha),software1-P,96.64
Fudan (Shanghai),software5-P,96.64
HUJI (Yerushalayim),software1-P,96.64
LeisureX (Shanghai),software1-P,96.64
ONLP lab (Ra'anana),software3-P,96.64
ParisNLP (Paris),software1-P,96.64
Phoenix (Shanghai),software1-P,96.64
iParse (Pittsburgh),software1-P,96.64
KParse (İstanbul),software1-P,96.47
ICS PAS (Warszawa),software1-P,96.37
LATTICE (Paris),software1-P,96.34
SLT-Interactions (Bengaluru),software2-P,96.33
CEA LIST (Paris),software1-P,96.32
UniMelb (Melbourne),software1-P,96.2
TurkuNLP (Turku),software1-P,95.84
ArmParser (Yerevan),software1-P,95.58
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
