UDPipe Future (Praha),software1-P,95.66
TurkuNLP (Turku),software1-P,94.33
NLP-Cube (București),software1-P,92.77
Stanford (Stanford),software2,92.01
LATTICE (Paris),software1-P,89.67
AntNLP (Shanghai),software1-P,89.61
BASELINE UDPipe 1.2 (Praha),software1-P,89.61
BOUN (İstanbul),software2-P,89.61
CUNI x-ling (Praha),software1-P,89.61
Fudan (Shanghai),software5-P,89.61
HUJI (Yerushalayim),software1-P,89.61
LeisureX (Shanghai),software1-P,89.61
ParisNLP (Paris),software1-P,89.61
Phoenix (Shanghai),software1-P,89.61
iParse (Pittsburgh),software1-P,89.61
SLT-Interactions (Bengaluru),software2-P,89.53
UniMelb (Melbourne),software1-P,89.39
KParse (İstanbul),software1-P,88.91
ICS PAS (Warszawa),software1-P,88.82
HIT-SCIR (Harbin),software1-P,88.42
CEA LIST (Paris),software1-P,88.03
ArmParser (Yerevan),software1-P,86.82
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
