UDPipe Future (Praha),software1-P,92.09
TurkuNLP (Turku),software1-P,90.65
NLP-Cube (București),software1-P,90.12
Stanford (Stanford),software2,89.41
AntNLP (Shanghai),software1-P,88.35
BASELINE UDPipe 1.2 (Praha),software1-P,88.35
BOUN (İstanbul),software2-P,88.35
CUNI x-ling (Praha),software1-P,88.35
HUJI (Yerushalayim),software1-P,88.35
IBM NY (Yorktown Heights),software1-P,88.35
KParse (İstanbul),software1-P,88.35
ParisNLP (Paris),software1-P,88.35
Phoenix (Shanghai),software1-P,88.35
iParse (Pittsburgh),software1-P,88.35
SLT-Interactions (Bengaluru),software2-P,88.1
HIT-SCIR (Harbin),software1-P,87.13
ICS PAS (Warszawa),software1-P,87.12
LATTICE (Paris),software1-P,87.06
UniMelb (Melbourne),software1-P,86.99
CEA LIST (Paris),software1-P,85.53
LeisureX (Shanghai),software1-P,83.22
Fudan (Shanghai),software5-P,62.89
ArmParser (Yerevan),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
