UDPipe Future (Praha),software1-P,88.12
TurkuNLP (Turku),software1-P,87.89
Stanford (Stanford),software2,86.29
CEA LIST (Paris),software1-P,86.16
AntNLP (Shanghai),software1-P,85.44
BASELINE UDPipe 1.2 (Praha),software1-P,85.44
BOUN (İstanbul),software2-P,85.44
CUNI x-ling (Praha),software1-P,85.44
Fudan (Shanghai),software5-P,85.44
HUJI (Yerushalayim),software1-P,85.44
KParse (İstanbul),software1-P,85.44
LeisureX (Shanghai),software1-P,85.44
ParisNLP (Paris),software1-P,85.44
Phoenix (Shanghai),software1-P,85.44
iParse (Pittsburgh),software1-P,85.44
HIT-SCIR (Harbin),software1-P,84.96
LATTICE (Paris),software1-P,84.02
SLT-Interactions (Bengaluru),software2-P,83.87
UniMelb (Melbourne),software1-P,83.27
NLP-Cube (București),software1-P,82.68
ICS PAS (Warszawa),software1-P,80.58
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
