TurkuNLP (Turku),software1-P,84.88
UDPipe Future (Praha),software1-P,84.47
Stanford (Stanford),software2,84.15
NLP-Cube (București),software1-P,83.06
CEA LIST (Paris),software1-P,69.71
ICS PAS (Warszawa),software1-P,68.64
HIT-SCIR (Harbin),software1-P,66.72
KParse (İstanbul),software1-P,66.26
SLT-Interactions (Bengaluru),software2-P,64.78
UniMelb (Melbourne),software1-P,64.7
LATTICE (Paris),software1-P,64.47
AntNLP (Shanghai),software1-P,63.69
BASELINE UDPipe 1.2 (Praha),software1-P,63.69
BOUN (İstanbul),software2-P,63.69
CUNI x-ling (Praha),software1-P,63.69
Fudan (Shanghai),software5-P,63.69
HUJI (Yerushalayim),software1-P,63.69
LeisureX (Shanghai),software1-P,63.69
ParisNLP (Paris),software1-P,63.69
Phoenix (Shanghai),software1-P,63.69
iParse (Pittsburgh),software1-P,63.69
ArmParser (Yerevan),software1-P,61.3
ONLP lab (Ra'anana),software3-P,3.99
Uppsala (Uppsala),software1-P,0.01
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
