Stanford (Stanford),software2,93.94
UDPipe Future (Praha),software1-P,93.68
TurkuNLP (Turku),software1-P,93.21
NLP-Cube (București),software1-P,92.45
HIT-SCIR (Harbin),software1-P,91.96
AntNLP (Shanghai),software1-P,91.65
BASELINE UDPipe 1.2 (Praha),software1-P,91.65
BOUN (İstanbul),software2-P,91.65
CUNI x-ling (Praha),software1-P,91.65
Fudan (Shanghai),software5-P,91.65
HUJI (Yerushalayim),software1-P,91.65
LeisureX (Shanghai),software1-P,91.65
ParisNLP (Paris),software1-P,91.65
Phoenix (Shanghai),software1-P,91.65
iParse (Pittsburgh),software1-P,91.65
LATTICE (Paris),software1-P,91.06
SLT-Interactions (Bengaluru),software2-P,90.81
ArmParser (Yerevan),software1-P,90.67
CEA LIST (Paris),software1-P,90.46
UniMelb (Melbourne),software1-P,90.28
ICS PAS (Warszawa),software1-P,90.0
KParse (İstanbul),software1-P,89.96
ONLP lab (Ra'anana),software3-P,0.05
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
