TurkuNLP (Turku),software1-P,94.11
UDPipe Future (Praha),software1-P,93.95
Stanford (Stanford),software2,92.59
HIT-SCIR (Harbin),software1-P,89.96
AntNLP (Shanghai),software1-P,89.51
BASELINE UDPipe 1.2 (Praha),software1-P,89.51
BOUN (İstanbul),software2-P,89.51
CUNI x-ling (Praha),software1-P,89.51
Fudan (Shanghai),software5-P,89.51
HUJI (Yerushalayim),software1-P,89.51
LeisureX (Shanghai),software1-P,89.51
ParisNLP (Paris),software1-P,89.51
Phoenix (Shanghai),software1-P,89.51
iParse (Pittsburgh),software1-P,89.51
LATTICE (Paris),software1-P,89.28
NLP-Cube (București),software1-P,89.0
SLT-Interactions (Bengaluru),software2-P,88.77
CEA LIST (Paris),software1-P,88.55
UniMelb (Melbourne),software1-P,88.29
ICS PAS (Warszawa),software1-P,88.17
KParse (İstanbul),software1-P,86.38
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
