Stanford (Stanford),software2,94.35
UDPipe Future (Praha),software1-P,94.17
TurkuNLP (Turku),software1-P,94.07
CEA LIST (Paris),software1-P,91.46
ICS PAS (Warszawa),software1-P,91.29
HIT-SCIR (Harbin),software1-P,90.84
AntNLP (Shanghai),software1-P,90.73
BASELINE UDPipe 1.2 (Praha),software1-P,90.73
CUNI x-ling (Praha),software1-P,90.73
Fudan (Shanghai),software5-P,90.73
HUJI (Yerushalayim),software1-P,90.73
LeisureX (Shanghai),software1-P,90.73
ParisNLP (Paris),software1-P,90.73
Phoenix (Shanghai),software1-P,90.73
BOUN (İstanbul),software2-P,90.66
LATTICE (Paris),software1-P,90.65
NLP-Cube (București),software1-P,90.39
KParse (İstanbul),software1-P,90.25
SLT-Interactions (Bengaluru),software2-P,90.14
UniMelb (Melbourne),software1-P,89.83
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
