TurkuNLP (Turku),software1-P,83.49
UDPipe Future (Praha),software1-P,83.18
Stanford (Stanford),software2,83.16
HIT-SCIR (Harbin),software1-P,79.33
AntNLP (Shanghai),software1-P,72.32
BASELINE UDPipe 1.2 (Praha),software1-P,72.32
BOUN (İstanbul),software2-P,72.32
CUNI x-ling (Praha),software1-P,72.32
Fudan (Shanghai),software5-P,72.32
HUJI (Yerushalayim),software1-P,72.32
LeisureX (Shanghai),software1-P,72.32
ParisNLP (Paris),software1-P,72.32
Phoenix (Shanghai),software1-P,72.32
iParse (Pittsburgh),software1-P,72.32
NLP-Cube (București),software1-P,71.19
ArmParser (Yerevan),software1-P,71.16
LATTICE (Paris),software1-P,70.96
SLT-Interactions (Bengaluru),software2-P,69.6
UniMelb (Melbourne),software1-P,68.92
ICS PAS (Warszawa),software1-P,68.46
CEA LIST (Paris),software1-P,68.12
KParse (İstanbul),software1-P,66.47
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
