UDPipe Future (Praha),software1-P,92.06
TurkuNLP (Turku),software1-P,91.79
Stanford (Stanford),software2,91.64
NLP-Cube (București),software1-P,90.39
CEA LIST (Paris),software1-P,89.25
ICS PAS (Warszawa),software1-P,88.43
HIT-SCIR (Harbin),software1-P,88.3
KParse (İstanbul),software1-P,87.81
AntNLP (Shanghai),software1-P,87.66
BASELINE UDPipe 1.2 (Praha),software1-P,87.66
BOUN (İstanbul),software2-P,87.66
CUNI x-ling (Praha),software1-P,87.66
Fudan (Shanghai),software5-P,87.66
HUJI (Yerushalayim),software1-P,87.66
LeisureX (Shanghai),software1-P,87.66
ParisNLP (Paris),software1-P,87.66
Phoenix (Shanghai),software1-P,87.66
iParse (Pittsburgh),software1-P,87.66
SLT-Interactions (Bengaluru),software2-P,87.12
UniMelb (Melbourne),software1-P,86.85
LATTICE (Paris),software1-P,86.83
ArmParser (Yerevan),software1-P,85.34
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
