CUNI x-ling (Praha),software1-P,57.19
Uppsala (Uppsala),software1-P,49.4
AntNLP (Shanghai),software1-P,49.28
BASELINE UDPipe 1.2 (Praha),software1-P,49.28
BOUN (İstanbul),software2-P,49.28
CEA LIST (Paris),software1-P,49.28
Fudan (Shanghai),software5-P,49.28
HUJI (Yerushalayim),software1-P,49.28
LeisureX (Shanghai),software1-P,49.28
NLP-Cube (București),software1-P,49.28
ParisNLP (Paris),software1-P,49.28
Phoenix (Shanghai),software1-P,49.28
UniMelb (Melbourne),software1-P,49.28
iParse (Pittsburgh),software1-P,49.28
KParse (İstanbul),software1-P,49.06
ArmParser (Yerevan),software1-P,48.9
LATTICE (Paris),software1-P,48.64
TurkuNLP (Turku),software1-P,41.45
Stanford (Stanford),software2,37.06
ICS PAS (Warszawa),software1-P,35.03
UDPipe Future (Praha),software1-P,33.14
SLT-Interactions (Bengaluru),software2-P,30.29
HIT-SCIR (Harbin),software1-P,22.38
IBM NY (Yorktown Heights),software1-P,16.28
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
