UDPipe Future (Praha),software1-P,97.16
Stanford (Stanford),software2,97.04
TurkuNLP (Turku),software1-P,96.65
NLP-Cube (București),software1-P,96.1
AntNLP (Shanghai),software1-P,96.0
BASELINE UDPipe 1.2 (Praha),software1-P,96.0
BOUN (İstanbul),software2-P,96.0
CUNI x-ling (Praha),software1-P,96.0
Fudan (Shanghai),software5-P,96.0
HUJI (Yerushalayim),software1-P,96.0
LeisureX (Shanghai),software1-P,96.0
ParisNLP (Paris),software1-P,96.0
Phoenix (Shanghai),software1-P,96.0
SParse (İstanbul),software1-P,96.0
iParse (Pittsburgh),software1-P,96.0
HIT-SCIR (Harbin),software1-P,95.96
LATTICE (Paris),software1-P,95.49
CEA LIST (Paris),software1-P,95.41
SLT-Interactions (Bengaluru),software2-P,95.35
UniMelb (Melbourne),software1-P,95.29
ICS PAS (Warszawa),software1-P,95.25
ArmParser (Yerevan),software1-P,95.02
KParse (İstanbul),software1-P,94.4
ONLP lab (Ra'anana),software3-P,0.05
IBM NY (Yorktown Heights),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
