Stanford (Stanford),software2,94.82
UDPipe Future (Praha),software1-P,94.48
TurkuNLP (Turku),software1-P,94.05
NLP-Cube (București),software1-P,93.61
Phoenix (Shanghai),software1-P,92.22
AntNLP (Shanghai),software1-P,92.15
BASELINE UDPipe 1.2 (Praha),software1-P,92.15
BOUN (İstanbul),software2-P,92.15
CUNI x-ling (Praha),software1-P,92.15
Fudan (Shanghai),software5-P,92.15
HUJI (Yerushalayim),software1-P,92.15
LeisureX (Shanghai),software1-P,92.15
ParisNLP (Paris),software1-P,92.15
HIT-SCIR (Harbin),software1-P,91.79
ArmParser (Yerevan),software1-P,91.67
CEA LIST (Paris),software1-P,91.51
LATTICE (Paris),software1-P,91.3
ICS PAS (Warszawa),software1-P,91.19
SLT-Interactions (Bengaluru),software2-P,90.93
UniMelb (Melbourne),software1-P,90.79
KParse (İstanbul),software1-P,90.17
ONLP lab (Ra'anana),software3-P,6.83
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
