CUNI x-ling (Praha),software1-P,48.49
AntNLP (Shanghai),software1-P,45.32
BASELINE UDPipe 1.2 (Praha),software1-P,45.32
BOUN (İstanbul),software2-P,45.32
CEA LIST (Paris),software1-P,45.32
Fudan (Shanghai),software5-P,45.32
HUJI (Yerushalayim),software1-P,45.32
LeisureX (Shanghai),software1-P,45.32
NLP-Cube (București),software1-P,45.32
ParisNLP (Paris),software1-P,45.32
Phoenix (Shanghai),software1-P,45.32
UniMelb (Melbourne),software1-P,45.32
iParse (Pittsburgh),software1-P,45.32
LATTICE (Paris),software1-P,40.0
KParse (İstanbul),software1-P,36.02
Stanford (Stanford),software2,35.81
TurkuNLP (Turku),software1-P,33.0
UDPipe Future (Praha),software1-P,28.34
ICS PAS (Warszawa),software1-P,25.26
SLT-Interactions (Bengaluru),software2-P,23.94
ArmParser (Yerevan),software1-P,0.0
HIT-SCIR (Harbin),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
