HIT-SCIR (Harbin),software1-P,87.2
TurkuNLP (Turku),software1-P,87.03
UDPipe Future (Praha),software1-P,86.62
Stanford (Stanford),software2,85.44
NLP-Cube (București),software1-P,83.21
AntNLP (Shanghai),software1-P,80.06
BASELINE UDPipe 1.2 (Praha),software1-P,80.06
BOUN (İstanbul),software2-P,80.06
CUNI x-ling (Praha),software1-P,80.06
Fudan (Shanghai),software5-P,80.06
HUJI (Yerushalayim),software1-P,80.06
LeisureX (Shanghai),software1-P,80.06
ParisNLP (Paris),software1-P,80.06
Phoenix (Shanghai),software1-P,80.06
iParse (Pittsburgh),software1-P,80.06
ArmParser (Yerevan),software1-P,79.8
SLT-Interactions (Bengaluru),software2-P,79.21
CEA LIST (Paris),software1-P,79.2
KParse (İstanbul),software1-P,78.89
LATTICE (Paris),software1-P,78.83
UniMelb (Melbourne),software1-P,78.24
ICS PAS (Warszawa),software1-P,77.6
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
