ICS PAS (Warszawa),software1-P,91.21
UDPipe Future (Praha),software1-P,84.32
TurkuNLP (Turku),software1-P,84.09
Uppsala (Uppsala),software1-P,83.55
SLT-Interactions (Bengaluru),software2-P,83.19
LATTICE (Paris),software1-P,83.15
Stanford (Stanford),software2,82.31
HIT-SCIR (Harbin),software1-P,82.18
AntNLP (Shanghai),software1-P,81.86
BASELINE UDPipe 1.2 (Praha),software1-P,81.86
BOUN (İstanbul),software2-P,81.86
CEA LIST (Paris),software1-P,81.86
CUNI x-ling (Praha),software1-P,81.86
Fudan (Shanghai),software5-P,81.86
HUJI (Yerushalayim),software1-P,81.86
KParse (İstanbul),software1-P,81.86
LeisureX (Shanghai),software1-P,81.86
ParisNLP (Paris),software1-P,81.86
Phoenix (Shanghai),software1-P,81.86
iParse (Pittsburgh),software1-P,81.86
UniMelb (Melbourne),software1-P,78.54
NLP-Cube (București),software1-P,74.36
IBM NY (Yorktown Heights),software1-P,45.48
ArmParser (Yerevan),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
