Stanford (Stanford),software2,93.67
UDPipe Future (Praha),software1-P,92.67
TurkuNLP (Turku),software1-P,91.96
NLP-Cube (București),software1-P,91.24
HIT-SCIR (Harbin),software1-P,86.28
AntNLP (Shanghai),software1-P,85.87
BASELINE UDPipe 1.2 (Praha),software1-P,85.87
BOUN (İstanbul),software2-P,85.87
CUNI x-ling (Praha),software1-P,85.87
Fudan (Shanghai),software5-P,85.87
HUJI (Yerushalayim),software1-P,85.87
KParse (İstanbul),software1-P,85.87
LeisureX (Shanghai),software1-P,85.87
ParisNLP (Paris),software1-P,85.87
Phoenix (Shanghai),software1-P,85.87
SLT-Interactions (Bengaluru),software2-P,85.77
LATTICE (Paris),software1-P,85.69
UniMelb (Melbourne),software1-P,85.51
CEA LIST (Paris),software1-P,84.58
ArmParser (Yerevan),software1-P,83.7
ICS PAS (Warszawa),software1-P,82.95
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
