UDPipe Future (Praha),software1-P,93.77
Stanford (Stanford),software2,93.46
TurkuNLP (Turku),software1-P,93.38
CEA LIST (Paris),software1-P,93.24
Uppsala (Uppsala),software1-P,92.69
NLP-Cube (București),software1-P,91.79
ICS PAS (Warszawa),software1-P,91.02
AntNLP (Shanghai),software1-P,90.29
BASELINE UDPipe 1.2 (Praha),software1-P,90.29
BOUN (İstanbul),software2-P,90.29
CUNI x-ling (Praha),software1-P,90.29
Fudan (Shanghai),software5-P,90.29
HUJI (Yerushalayim),software1-P,90.29
KParse (İstanbul),software1-P,90.29
LeisureX (Shanghai),software1-P,90.29
ParisNLP (Paris),software1-P,90.29
Phoenix (Shanghai),software1-P,90.29
iParse (Pittsburgh),software1-P,90.29
HIT-SCIR (Harbin),software1-P,89.7
SLT-Interactions (Bengaluru),software2-P,89.62
UniMelb (Melbourne),software1-P,89.56
LATTICE (Paris),software1-P,89.39
ArmParser (Yerevan),software1-P,87.43
IBM NY (Yorktown Heights),software1-P,70.07
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
