Stanford (Stanford),software2,76.22
TurkuNLP (Turku),software1-P,76.18
UDPipe Future (Praha),software1-P,75.61
NLP-Cube (București),software1-P,73.61
AntNLP (Shanghai),software1-P,73.07
BASELINE UDPipe 1.2 (Praha),software1-P,73.07
BOUN (İstanbul),software2-P,73.07
CUNI x-ling (Praha),software1-P,73.07
Fudan (Shanghai),software5-P,73.07
HUJI (Yerushalayim),software1-P,73.07
KParse (İstanbul),software1-P,73.07
ParisNLP (Paris),software1-P,73.07
iParse (Pittsburgh),software1-P,73.07
LATTICE (Paris),software1-P,72.05
ICS PAS (Warszawa),software1-P,70.95
SLT-Interactions (Bengaluru),software2-P,70.88
UniMelb (Melbourne),software1-P,70.36
Phoenix (Shanghai),software1-P,58.3
ArmParser (Yerevan),software1-P,0.0
CEA LIST (Paris),software1-P,0.0
HIT-SCIR (Harbin),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
LeisureX (Shanghai),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
