Stanford (Stanford),software2,95.44
UDPipe Future (Praha),software1-P,95.43
TurkuNLP (Turku),software1-P,95.29
NLP-Cube (București),software1-P,93.24
AntNLP (Shanghai),software1-P,92.63
BASELINE UDPipe 1.2 (Praha),software1-P,92.63
CUNI x-ling (Praha),software1-P,92.63
Fudan (Shanghai),software5-P,92.63
HUJI (Yerushalayim),software1-P,92.63
KParse (İstanbul),software1-P,92.63
LeisureX (Shanghai),software1-P,92.63
ParisNLP (Paris),software1-P,92.63
Phoenix (Shanghai),software1-P,92.63
iParse (Pittsburgh),software1-P,92.63
BOUN (İstanbul),software2-P,92.43
LATTICE (Paris),software1-P,92.4
HIT-SCIR (Harbin),software1-P,92.39
SLT-Interactions (Bengaluru),software2-P,92.26
CEA LIST (Paris),software1-P,92.03
UniMelb (Melbourne),software1-P,91.71
ICS PAS (Warszawa),software1-P,91.3
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
