UDPipe Future (Praha),software1-P,90.12
TurkuNLP (Turku),software1-P,89.79
Stanford (Stanford),software2,89.07
NLP-Cube (București),software1-P,86.35
AntNLP (Shanghai),software1-P,82.36
BASELINE UDPipe 1.2 (Praha),software1-P,82.36
CUNI x-ling (Praha),software1-P,82.36
Fudan (Shanghai),software5-P,82.36
HUJI (Yerushalayim),software1-P,82.36
KParse (İstanbul),software1-P,82.36
LeisureX (Shanghai),software1-P,82.36
ParisNLP (Paris),software1-P,82.36
Phoenix (Shanghai),software1-P,82.36
BOUN (İstanbul),software2-P,82.35
SLT-Interactions (Bengaluru),software2-P,81.71
UniMelb (Melbourne),software1-P,80.87
LATTICE (Paris),software1-P,80.73
ArmParser (Yerevan),software1-P,80.52
HIT-SCIR (Harbin),software1-P,80.26
CEA LIST (Paris),software1-P,80.09
ICS PAS (Warszawa),software1-P,78.41
ONLP lab (Ra'anana),software3-P,0.66
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
