TurkuNLP (Turku),software1-P,79.95
Stanford (Stanford),software2,79.59
NLP-Cube (București),software1-P,77.58
UDPipe Future (Praha),software1-P,77.27
CEA LIST (Paris),software1-P,76.77
HIT-SCIR (Harbin),software1-P,76.29
AntNLP (Shanghai),software1-P,76.2
BASELINE UDPipe 1.2 (Praha),software1-P,76.2
BOUN (İstanbul),software2-P,76.2
CUNI x-ling (Praha),software1-P,76.2
Fudan (Shanghai),software5-P,76.2
HUJI (Yerushalayim),software1-P,76.2
KParse (İstanbul),software1-P,76.2
LeisureX (Shanghai),software1-P,76.2
ParisNLP (Paris),software1-P,76.2
Phoenix (Shanghai),software1-P,76.2
iParse (Pittsburgh),software1-P,76.2
ICS PAS (Warszawa),software1-P,75.61
SLT-Interactions (Bengaluru),software2-P,75.02
ArmParser (Yerevan),software1-P,74.93
UniMelb (Melbourne),software1-P,74.63
LATTICE (Paris),software1-P,74.52
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
