TurkuNLP (Turku),software1-P,66.09
HIT-SCIR (Harbin),software1-P,65.33
UDPipe Future (Praha),software1-P,64.49
ICS PAS (Warszawa),software1-P,64.44
Stanford (Stanford),software2,64.04
LATTICE (Paris),software1-P,62.39
CEA LIST (Paris),software1-P,62.23
AntNLP (Shanghai),software1-P,60.91
ParisNLP (Paris),software1-P,60.7
SLT-Interactions (Bengaluru),software2-P,59.68
UniMelb (Melbourne),software1-P,58.67
LeisureX (Shanghai),software1-P,58.42
BASELINE UDPipe 1.2 (Praha),software1-P,55.8
Phoenix (Shanghai),software1-P,55.71
NLP-Cube (București),software1-P,55.52
KParse (İstanbul),software1-P,55.26
CUNI x-ling (Praha),software1-P,54.07
Fudan (Shanghai),software5-P,54.03
BOUN (İstanbul),software2-P,53.45
iParse (Pittsburgh),software1-P,48.71
HUJI (Yerushalayim),software1-P,48.05
ArmParser (Yerevan),software1-P,39.18
IBM NY (Yorktown Heights),software1-P,32.55
Uppsala (Uppsala),software1-P,32.09
ONLP lab (Ra'anana),software3-P,28.29
SParse (İstanbul),software1-P,1.71
