TurkuNLP (Turku),software1-P,86.79
ICS PAS (Warszawa),software1-P,86.69
HIT-SCIR (Harbin),software1-P,86.35
UDPipe Future (Praha),software1-P,86.24
LATTICE (Paris),software1-P,85.36
AntNLP (Shanghai),software1-P,84.94
ParisNLP (Paris),software1-P,84.87
Stanford (Stanford),software2,84.37
CEA LIST (Paris),software1-P,83.81
SLT-Interactions (Bengaluru),software2-P,83.37
NLP-Cube (București),software1-P,82.64
LeisureX (Shanghai),software1-P,82.6
iParse (Pittsburgh),software1-P,82.37
UniMelb (Melbourne),software1-P,81.29
Fudan (Shanghai),software5-P,78.54
BASELINE UDPipe 1.2 (Praha),software1-P,77.65
Phoenix (Shanghai),software1-P,77.3
KParse (İstanbul),software1-P,77.24
BOUN (İstanbul),software2-P,76.98
HUJI (Yerushalayim),software1-P,75.83
CUNI x-ling (Praha),software1-P,74.02
ArmParser (Yerevan),software1-P,61.31
Uppsala (Uppsala),software1-P,28.95
IBM NY (Yorktown Heights),software1-P,27.46
ONLP lab (Ra'anana),software3-P,24.89
SParse (İstanbul),software1-P,0.0
