Stanford (Stanford),software2,71.31
TurkuNLP (Turku),software1-P,69.77
HIT-SCIR (Harbin),software1-P,66.41
ICS PAS (Warszawa),software1-P,66.04
UDPipe Future (Praha),software1-P,65.71
CEA LIST (Paris),software1-P,65.61
ParisNLP (Paris),software1-P,63.56
LATTICE (Paris),software1-P,62.84
LeisureX (Shanghai),software1-P,61.66
SLT-Interactions (Bengaluru),software2-P,61.15
Fudan (Shanghai),software5-P,61.05
iParse (Pittsburgh),software1-P,61.05
AntNLP (Shanghai),software1-P,60.51
Phoenix (Shanghai),software1-P,58.64
BASELINE UDPipe 1.2 (Praha),software1-P,58.39
UniMelb (Melbourne),software1-P,57.2
CUNI x-ling (Praha),software1-P,56.55
HUJI (Yerushalayim),software1-P,56.16
NLP-Cube (București),software1-P,54.38
BOUN (İstanbul),software2-P,52.96
KParse (İstanbul),software1-P,51.36
Uppsala (Uppsala),software1-P,17.25
IBM NY (Yorktown Heights),software1-P,17.16
ONLP lab (Ra'anana),software3-P,16.22
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
