HIT-SCIR (Harbin),software1-P,71.4
TurkuNLP (Turku),software1-P,71.25
Stanford (Stanford),software2,70.49
UDPipe Future (Praha),software1-P,69.79
CEA LIST (Paris),software1-P,68.86
ICS PAS (Warszawa),software1-P,68.59
ParisNLP (Paris),software1-P,67.94
SLT-Interactions (Bengaluru),software2-P,67.89
AntNLP (Shanghai),software1-P,67.28
LATTICE (Paris),software1-P,67.17
LeisureX (Shanghai),software1-P,66.09
iParse (Pittsburgh),software1-P,66.04
UniMelb (Melbourne),software1-P,64.4
BASELINE UDPipe 1.2 (Praha),software1-P,60.56
Fudan (Shanghai),software5-P,60.56
Phoenix (Shanghai),software1-P,59.28
HUJI (Yerushalayim),software1-P,57.8
CUNI x-ling (Praha),software1-P,54.34
BOUN (İstanbul),software2-P,45.83
ArmParser (Yerevan),software1-P,44.42
NLP-Cube (București),software1-P,42.49
ONLP lab (Ra'anana),software3-P,37.04
KParse (İstanbul),software1-P,35.41
Uppsala (Uppsala),software1-P,21.05
IBM NY (Yorktown Heights),software1-P,20.45
SParse (İstanbul),software1-P,0.0
