TurkuNLP (Turku),software1-P,80.09
Stanford (Stanford),software2,78.66
ICS PAS (Warszawa),software1-P,78.57
HIT-SCIR (Harbin),software1-P,77.81
UDPipe Future (Praha),software1-P,77.18
CEA LIST (Paris),software1-P,75.84
ParisNLP (Paris),software1-P,74.12
SLT-Interactions (Bengaluru),software2-P,74.05
LATTICE (Paris),software1-P,73.27
AntNLP (Shanghai),software1-P,73.26
iParse (Pittsburgh),software1-P,71.04
UniMelb (Melbourne),software1-P,70.71
LeisureX (Shanghai),software1-P,69.9
Phoenix (Shanghai),software1-P,69.03
BASELINE UDPipe 1.2 (Praha),software1-P,68.67
BOUN (İstanbul),software2-P,68.59
HUJI (Yerushalayim),software1-P,68.27
KParse (İstanbul),software1-P,66.92
CUNI x-ling (Praha),software1-P,66.6
NLP-Cube (București),software1-P,66.38
Fudan (Shanghai),software5-P,64.68
ArmParser (Yerevan),software1-P,53.05
Uppsala (Uppsala),software1-P,26.7
IBM NY (Yorktown Heights),software1-P,26.23
ONLP lab (Ra'anana),software3-P,25.2
SParse (İstanbul),software1-P,0.0
