CUNI x-ling (Praha),software1-P,14.4
CEA LIST (Paris),software1-P,14.38
UDPipe Future (Praha),software1-P,13.49
HIT-SCIR (Harbin),software1-P,12.93
Stanford (Stanford),software2,12.03
SLT-Interactions (Bengaluru),software2-P,11.3
Uppsala (Uppsala),software1-P,10.8
TurkuNLP (Turku),software1-P,10.02
IBM NY (Yorktown Heights),software1-P,9.99
Phoenix (Shanghai),software1-P,8.58
ICS PAS (Warszawa),software1-P,7.49
ParisNLP (Paris),software1-P,7.16
NLP-Cube (București),software1-P,5.87
BOUN (İstanbul),software2-P,5.81
LATTICE (Paris),software1-P,5.58
BASELINE UDPipe 1.2 (Praha),software1-P,5.56
Fudan (Shanghai),software5-P,5.56
LeisureX (Shanghai),software1-P,5.56
UniMelb (Melbourne),software1-P,5.56
KParse (İstanbul),software1-P,5.44
ONLP lab (Ra'anana),software3-P,5.07
AntNLP (Shanghai),software1-P,4.58
HUJI (Yerushalayim),software1-P,3.28
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
