ICS PAS (Warszawa),software1-P,84.67
LATTICE (Paris),software1-P,84.52
HIT-SCIR (Harbin),software1-P,84.46
TurkuNLP (Turku),software1-P,83.23
UDPipe Future (Praha),software1-P,83.04
SLT-Interactions (Bengaluru),software2-P,82.62
Stanford (Stanford),software2,82.59
CEA LIST (Paris),software1-P,82.1
AntNLP (Shanghai),software1-P,79.24
ParisNLP (Paris),software1-P,79.13
UniMelb (Melbourne),software1-P,78.49
NLP-Cube (București),software1-P,76.06
iParse (Pittsburgh),software1-P,75.76
LeisureX (Shanghai),software1-P,75.3
Phoenix (Shanghai),software1-P,74.45
BASELINE UDPipe 1.2 (Praha),software1-P,74.41
HUJI (Yerushalayim),software1-P,73.66
BOUN (İstanbul),software2-P,73.03
CUNI x-ling (Praha),software1-P,71.52
KParse (İstanbul),software1-P,71.33
Fudan (Shanghai),software5-P,67.97
ArmParser (Yerevan),software1-P,58.99
ONLP lab (Ra'anana),software3-P,49.55
Uppsala (Uppsala),software1-P,46.7
IBM NY (Yorktown Heights),software1-P,43.62
SParse (İstanbul),software1-P,0.0
