HIT-SCIR (Harbin),software1-P,65.63
ICS PAS (Warszawa),software1-P,65.34
LATTICE (Paris),software1-P,63.13
SLT-Interactions (Bengaluru),software2-P,62.14
Stanford (Stanford),software2,61.26
UDPipe Future (Praha),software1-P,60.87
AntNLP (Shanghai),software1-P,60.76
CEA LIST (Paris),software1-P,59.46
TurkuNLP (Turku),software1-P,59.09
KParse (İstanbul),software1-P,57.76
UniMelb (Melbourne),software1-P,56.6
ParisNLP (Paris),software1-P,55.96
Phoenix (Shanghai),software1-P,54.88
BASELINE UDPipe 1.2 (Praha),software1-P,54.67
LeisureX (Shanghai),software1-P,54.61
NLP-Cube (București),software1-P,52.78
CUNI x-ling (Praha),software1-P,52.77
iParse (Pittsburgh),software1-P,51.03
HUJI (Yerushalayim),software1-P,50.03
Fudan (Shanghai),software5-P,49.97
ArmParser (Yerevan),software1-P,48.77
BOUN (İstanbul),software2-P,46.02
Uppsala (Uppsala),software1-P,43.14
ONLP lab (Ra'anana),software3-P,41.01
IBM NY (Yorktown Heights),software1-P,39.13
SParse (İstanbul),software1-P,0.0
