Stanford (Stanford),software2,63.98
TurkuNLP (Turku),software1-P,63.01
UDPipe Future (Praha),software1-P,61.92
HIT-SCIR (Harbin),software1-P,61.58
CEA LIST (Paris),software1-P,61.1
ICS PAS (Warszawa),software1-P,59.3
ParisNLP (Paris),software1-P,59.18
LATTICE (Paris),software1-P,57.76
iParse (Pittsburgh),software1-P,57.36
SLT-Interactions (Bengaluru),software2-P,55.86
LeisureX (Shanghai),software1-P,55.51
AntNLP (Shanghai),software1-P,55.16
BASELINE UDPipe 1.2 (Praha),software1-P,55.02
UniMelb (Melbourne),software1-P,54.7
Phoenix (Shanghai),software1-P,54.6
Fudan (Shanghai),software5-P,53.09
CUNI x-ling (Praha),software1-P,52.9
HUJI (Yerushalayim),software1-P,51.87
BOUN (İstanbul),software2-P,50.63
ArmParser (Yerevan),software1-P,49.55
NLP-Cube (București),software1-P,46.76
KParse (İstanbul),software1-P,40.51
ONLP lab (Ra'anana),software3-P,16.86
Uppsala (Uppsala),software1-P,15.35
IBM NY (Yorktown Heights),software1-P,15.07
SParse (İstanbul),software1-P,0.0
