CUNI x-ling (Praha),software1-P,19.04
LATTICE (Paris),software1-P,18.3
NLP-Cube (București),software1-P,17.36
TurkuNLP (Turku),software1-P,15.32
CEA LIST (Paris),software1-P,15.26
HIT-SCIR (Harbin),software1-P,14.87
Fudan (Shanghai),software5-P,13.85
AntNLP (Shanghai),software1-P,13.03
UDPipe Future (Praha),software1-P,13.03
Phoenix (Shanghai),software1-P,12.56
BASELINE UDPipe 1.2 (Praha),software1-P,11.94
LeisureX (Shanghai),software1-P,11.94
UniMelb (Melbourne),software1-P,11.94
ArmParser (Yerevan),software1-P,11.26
ICS PAS (Warszawa),software1-P,11.25
BOUN (İstanbul),software2-P,11.03
Stanford (Stanford),software2,10.25
Uppsala (Uppsala),software1-P,8.39
IBM NY (Yorktown Heights),software1-P,7.27
ONLP lab (Ra'anana),software3-P,6.96
KParse (İstanbul),software1-P,6.3
ParisNLP (Paris),software1-P,6.24
SLT-Interactions (Bengaluru),software2-P,5.36
HUJI (Yerushalayim),software1-P,3.0
iParse (Pittsburgh),software1-P,1.91
SParse (İstanbul),software1-P,0.0
