Stanford (Stanford),software2,76.56
UDPipe Future (Praha),software1-P,75.94
TurkuNLP (Turku),software1-P,75.4
ICS PAS (Warszawa),software1-P,75.1
Fudan (Shanghai),software5-P,71.5
Uppsala (Uppsala),software1-P,69.6
IBM NY (Yorktown Heights),software1-P,68.23
HIT-SCIR (Harbin),software1-P,68.06
CEA LIST (Paris),software1-P,66.93
SLT-Interactions (Bengaluru),software2-P,65.99
UniMelb (Melbourne),software1-P,65.69
ParisNLP (Paris),software1-P,65.58
iParse (Pittsburgh),software1-P,65.56
LATTICE (Paris),software1-P,65.49
LeisureX (Shanghai),software1-P,64.99
AntNLP (Shanghai),software1-P,64.92
KParse (İstanbul),software1-P,63.92
Phoenix (Shanghai),software1-P,62.69
BASELINE UDPipe 1.2 (Praha),software1-P,62.5
BOUN (İstanbul),software2-P,62.5
CUNI x-ling (Praha),software1-P,61.38
HUJI (Yerushalayim),software1-P,59.69
NLP-Cube (București),software1-P,53.26
ArmParser (Yerevan),software1-P,52.4
ONLP lab (Ra'anana),software3-P,41.53
SParse (İstanbul),software1-P,0.0
