ICS PAS (Warszawa),software1-P,52.75
HIT-SCIR (Harbin),software1-P,49.74
TurkuNLP (Turku),software1-P,49.15
LATTICE (Paris),software1-P,44.03
AntNLP (Shanghai),software1-P,41.43
SLT-Interactions (Bengaluru),software2-P,41.07
UDPipe Future (Praha),software1-P,39.86
KParse (İstanbul),software1-P,38.04
ParisNLP (Paris),software1-P,37.15
BASELINE UDPipe 1.2 (Praha),software1-P,32.19
CEA LIST (Paris),software1-P,32.19
Fudan (Shanghai),software5-P,32.19
LeisureX (Shanghai),software1-P,32.19
Stanford (Stanford),software2,31.56
Phoenix (Shanghai),software1-P,31.23
CUNI x-ling (Praha),software1-P,30.73
UniMelb (Melbourne),software1-P,30.24
BOUN (İstanbul),software2-P,28.93
NLP-Cube (București),software1-P,28.48
ArmParser (Yerevan),software1-P,26.59
HUJI (Yerushalayim),software1-P,23.11
Uppsala (Uppsala),software1-P,14.15
IBM NY (Yorktown Heights),software1-P,9.72
ONLP lab (Ra'anana),software3-P,7.46
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
