HIT-SCIR (Harbin),software1-P,79.15
UDPipe Future (Praha),software1-P,77.76
Stanford (Stanford),software2,77.26
ICS PAS (Warszawa),software1-P,77.06
TurkuNLP (Turku),software1-P,76.45
CEA LIST (Paris),software1-P,74.85
LATTICE (Paris),software1-P,74.58
ParisNLP (Paris),software1-P,74.06
AntNLP (Shanghai),software1-P,73.68
SLT-Interactions (Bengaluru),software2-P,73.4
LeisureX (Shanghai),software1-P,72.3
NLP-Cube (București),software1-P,71.95
iParse (Pittsburgh),software1-P,70.84
UniMelb (Melbourne),software1-P,69.48
KParse (İstanbul),software1-P,65.79
BASELINE UDPipe 1.2 (Praha),software1-P,64.76
Fudan (Shanghai),software5-P,64.76
Phoenix (Shanghai),software1-P,64.08
HUJI (Yerushalayim),software1-P,63.98
BOUN (İstanbul),software2-P,63.59
CUNI x-ling (Praha),software1-P,61.18
ArmParser (Yerevan),software1-P,48.1
Uppsala (Uppsala),software1-P,45.97
IBM NY (Yorktown Heights),software1-P,44.16
ONLP lab (Ra'anana),software3-P,42.48
SParse (İstanbul),software1-P,0.0
