UDPipe Future (Praha),software1-P,85.82
TurkuNLP (Turku),software1-P,84.99
HIT-SCIR (Harbin),software1-P,84.71
ICS PAS (Warszawa),software1-P,84.68
Stanford (Stanford),software2,84.68
CEA LIST (Paris),software1-P,83.18
AntNLP (Shanghai),software1-P,82.64
ParisNLP (Paris),software1-P,82.26
SLT-Interactions (Bengaluru),software2-P,81.94
LATTICE (Paris),software1-P,81.51
LeisureX (Shanghai),software1-P,81.42
iParse (Pittsburgh),software1-P,80.67
NLP-Cube (București),software1-P,80.26
UniMelb (Melbourne),software1-P,79.83
BASELINE UDPipe 1.2 (Praha),software1-P,76.32
Phoenix (Shanghai),software1-P,76.0
HUJI (Yerushalayim),software1-P,75.09
KParse (İstanbul),software1-P,74.91
BOUN (İstanbul),software2-P,73.73
CUNI x-ling (Praha),software1-P,73.53
Fudan (Shanghai),software5-P,69.62
ONLP lab (Ra'anana),software3-P,43.89
Uppsala (Uppsala),software1-P,43.34
IBM NY (Yorktown Heights),software1-P,42.38
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
