TurkuNLP (Turku),software1-P,80.97
ICS PAS (Warszawa),software1-P,79.54
HIT-SCIR (Harbin),software1-P,79.51
UDPipe Future (Praha),software1-P,79.35
Stanford (Stanford),software2,79.09
CEA LIST (Paris),software1-P,78.23
AntNLP (Shanghai),software1-P,77.31
ParisNLP (Paris),software1-P,77.28
LATTICE (Paris),software1-P,76.48
SLT-Interactions (Bengaluru),software2-P,76.06
LeisureX (Shanghai),software1-P,75.84
NLP-Cube (București),software1-P,74.65
UniMelb (Melbourne),software1-P,74.13
KParse (İstanbul),software1-P,72.59
Phoenix (Shanghai),software1-P,71.93
BASELINE UDPipe 1.2 (Praha),software1-P,71.87
HUJI (Yerushalayim),software1-P,71.79
BOUN (İstanbul),software2-P,71.44
Fudan (Shanghai),software5-P,69.27
CUNI x-ling (Praha),software1-P,68.61
ArmParser (Yerevan),software1-P,57.21
Uppsala (Uppsala),software1-P,30.17
IBM NY (Yorktown Heights),software1-P,29.51
ONLP lab (Ra'anana),software3-P,29.07
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
