Stanford (Stanford),software2,83.23
HIT-SCIR (Harbin),software1-P,83.02
TurkuNLP (Turku),software1-P,82.52
UDPipe Future (Praha),software1-P,81.22
ICS PAS (Warszawa),software1-P,81.11
CEA LIST (Paris),software1-P,78.34
SLT-Interactions (Bengaluru),software2-P,76.89
ParisNLP (Paris),software1-P,76.57
LATTICE (Paris),software1-P,76.22
NLP-Cube (București),software1-P,75.56
AntNLP (Shanghai),software1-P,75.11
UniMelb (Melbourne),software1-P,72.83
LeisureX (Shanghai),software1-P,72.72
KParse (İstanbul),software1-P,69.49
BASELINE UDPipe 1.2 (Praha),software1-P,68.93
Phoenix (Shanghai),software1-P,68.73
BOUN (İstanbul),software2-P,68.32
HUJI (Yerushalayim),software1-P,68.04
Fudan (Shanghai),software5-P,67.75
CUNI x-ling (Praha),software1-P,67.18
ArmParser (Yerevan),software1-P,55.22
Uppsala (Uppsala),software1-P,27.44
IBM NY (Yorktown Heights),software1-P,25.82
ONLP lab (Ra'anana),software3-P,23.79
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
