ICS PAS (Warszawa),software1-P,50.94
HIT-SCIR (Harbin),software1-P,50.64
AntNLP (Shanghai),software1-P,46.88
LATTICE (Paris),software1-P,46.83
TurkuNLP (Turku),software1-P,46.72
UDPipe Future (Praha),software1-P,44.57
SLT-Interactions (Bengaluru),software2-P,43.16
ParisNLP (Paris),software1-P,41.82
KParse (İstanbul),software1-P,39.82
Stanford (Stanford),software2,39.15
BASELINE UDPipe 1.2 (Praha),software1-P,38.73
CEA LIST (Paris),software1-P,38.73
LeisureX (Shanghai),software1-P,38.73
UniMelb (Melbourne),software1-P,38.46
Phoenix (Shanghai),software1-P,37.6
CUNI x-ling (Praha),software1-P,37.5
ArmParser (Yerevan),software1-P,36.32
BOUN (İstanbul),software2-P,36.2
NLP-Cube (București),software1-P,35.69
iParse (Pittsburgh),software1-P,34.6
Fudan (Shanghai),software5-P,34.3
HUJI (Yerushalayim),software1-P,31.88
Uppsala (Uppsala),software1-P,29.99
IBM NY (Yorktown Heights),software1-P,25.06
ONLP lab (Ra'anana),software3-P,22.96
SParse (İstanbul),software1-P,0.0
