ICS PAS (Warszawa),software1-P,77.01
HIT-SCIR (Harbin),software1-P,76.7
TurkuNLP (Turku),software1-P,76.7
UDPipe Future (Praha),software1-P,75.67
Stanford (Stanford),software2,74.77
CEA LIST (Paris),software1-P,74.02
LATTICE (Paris),software1-P,73.28
AntNLP (Shanghai),software1-P,72.88
ParisNLP (Paris),software1-P,72.27
SLT-Interactions (Bengaluru),software2-P,71.44
UniMelb (Melbourne),software1-P,70.42
NLP-Cube (București),software1-P,69.08
iParse (Pittsburgh),software1-P,68.75
LeisureX (Shanghai),software1-P,68.21
KParse (İstanbul),software1-P,67.35
BASELINE UDPipe 1.2 (Praha),software1-P,66.39
Phoenix (Shanghai),software1-P,66.31
CUNI x-ling (Praha),software1-P,65.21
BOUN (İstanbul),software2-P,64.68
HUJI (Yerushalayim),software1-P,64.41
Fudan (Shanghai),software5-P,63.3
ArmParser (Yerevan),software1-P,44.8
Uppsala (Uppsala),software1-P,41.74
IBM NY (Yorktown Heights),software1-P,38.78
ONLP lab (Ra'anana),software3-P,37.24
SParse (İstanbul),software1-P,0.0
