TurkuNLP (Turku),software1-P,60.13
Stanford (Stanford),software2,59.0
ICS PAS (Warszawa),software1-P,58.89
HIT-SCIR (Harbin),software1-P,56.72
UDPipe Future (Praha),software1-P,56.69
CEA LIST (Paris),software1-P,54.29
SLT-Interactions (Bengaluru),software2-P,53.31
ParisNLP (Paris),software1-P,52.34
LATTICE (Paris),software1-P,51.45
UniMelb (Melbourne),software1-P,50.5
iParse (Pittsburgh),software1-P,50.5
AntNLP (Shanghai),software1-P,50.49
KParse (İstanbul),software1-P,49.84
IBM NY (Yorktown Heights),software1-P,48.08
NLP-Cube (București),software1-P,47.63
LeisureX (Shanghai),software1-P,47.08
Phoenix (Shanghai),software1-P,46.74
BASELINE UDPipe 1.2 (Praha),software1-P,45.91
Fudan (Shanghai),software5-P,44.77
BOUN (İstanbul),software2-P,42.0
CUNI x-ling (Praha),software1-P,41.88
ArmParser (Yerevan),software1-P,40.02
HUJI (Yerushalayim),software1-P,34.85
Uppsala (Uppsala),software1-P,21.17
ONLP lab (Ra'anana),software3-P,15.95
SParse (İstanbul),software1-P,0.0
