HIT-SCIR (Harbin),software1-P,72.97
Stanford (Stanford),software2,67.44
NLP-Cube (București),software1-P,64.52
LATTICE (Paris),software1-P,64.29
Uppsala (Uppsala),software1-P,64.08
SLT-Interactions (Bengaluru),software2-P,62.58
UDPipe Future (Praha),software1-P,61.38
CEA LIST (Paris),software1-P,60.88
TurkuNLP (Turku),software1-P,60.65
UniMelb (Melbourne),software1-P,58.88
LeisureX (Shanghai),software1-P,58.71
AntNLP (Shanghai),software1-P,58.19
ParisNLP (Paris),software1-P,58.01
ICS PAS (Warszawa),software1-P,57.84
iParse (Pittsburgh),software1-P,57.74
IBM NY (Yorktown Heights),software1-P,55.4
Fudan (Shanghai),software5-P,54.29
KParse (İstanbul),software1-P,53.11
BASELINE UDPipe 1.2 (Praha),software1-P,52.92
Phoenix (Shanghai),software1-P,52.32
CUNI x-ling (Praha),software1-P,51.54
BOUN (İstanbul),software2-P,51.2
ONLP lab (Ra'anana),software3-P,50.74
ArmParser (Yerevan),software1-P,49.95
HUJI (Yerushalayim),software1-P,47.66
SParse (İstanbul),software1-P,0.0
