HIT-SCIR (Harbin),software1-P,81.29
Stanford (Stanford),software2,79.6
UDPipe Future (Praha),software1-P,78.28
TurkuNLP (Turku),software1-P,78.26
ICS PAS (Warszawa),software1-P,78.05
CEA LIST (Paris),software1-P,78.02
LATTICE (Paris),software1-P,77.02
NLP-Cube (București),software1-P,76.59
ParisNLP (Paris),software1-P,76.36
Uppsala (Uppsala),software1-P,76.28
SLT-Interactions (Bengaluru),software2-P,75.73
AntNLP (Shanghai),software1-P,75.54
LeisureX (Shanghai),software1-P,73.59
UniMelb (Melbourne),software1-P,73.31
IBM NY (Yorktown Heights),software1-P,73.09
Fudan (Shanghai),software5-P,70.44
KParse (İstanbul),software1-P,69.78
BASELINE UDPipe 1.2 (Praha),software1-P,69.13
Phoenix (Shanghai),software1-P,68.89
BOUN (İstanbul),software2-P,67.49
CUNI x-ling (Praha),software1-P,65.85
iParse (Pittsburgh),software1-P,62.78
ONLP lab (Ra'anana),software3-P,61.86
HUJI (Yerushalayim),software1-P,60.71
ArmParser (Yerevan),software1-P,53.85
SParse (İstanbul),software1-P,2.35
