CUNI x-ling (Praha),software1-P,22.18
Uppsala (Uppsala),software1-P,20.1
CEA LIST (Paris),software1-P,19.86
HIT-SCIR (Harbin),software1-P,19.04
LATTICE (Paris),software1-P,18.97
TurkuNLP (Turku),software1-P,18.15
UDPipe Future (Praha),software1-P,17.4
IBM NY (Yorktown Heights),software1-P,17.21
AntNLP (Shanghai),software1-P,14.93
SLT-Interactions (Bengaluru),software2-P,14.84
ICS PAS (Warszawa),software1-P,14.83
Stanford (Stanford),software2,14.06
Phoenix (Shanghai),software1-P,13.61
BASELINE UDPipe 1.2 (Praha),software1-P,13.42
LeisureX (Shanghai),software1-P,13.42
UniMelb (Melbourne),software1-P,13.42
KParse (İstanbul),software1-P,13.26
NLP-Cube (București),software1-P,12.97
ParisNLP (Paris),software1-P,12.41
Fudan (Shanghai),software5-P,11.82
ONLP lab (Ra'anana),software3-P,11.11
BOUN (İstanbul),software2-P,11.1
HUJI (Yerushalayim),software1-P,5.97
ArmParser (Yerevan),software1-P,5.79
iParse (Pittsburgh),software1-P,2.26
SParse (İstanbul),software1-P,0.0
