HIT-SCIR (Harbin),software1-P,79.11
TurkuNLP (Turku),software1-P,76.1
Stanford (Stanford),software2,76.09
UDPipe Future (Praha),software1-P,75.97
ICS PAS (Warszawa),software1-P,75.91
CEA LIST (Paris),software1-P,75.02
LATTICE (Paris),software1-P,74.89
Uppsala (Uppsala),software1-P,74.26
NLP-Cube (București),software1-P,74.08
ParisNLP (Paris),software1-P,73.54
SLT-Interactions (Bengaluru),software2-P,73.36
AntNLP (Shanghai),software1-P,73.22
UniMelb (Melbourne),software1-P,70.88
LeisureX (Shanghai),software1-P,70.5
IBM NY (Yorktown Heights),software1-P,70.35
KParse (İstanbul),software1-P,67.64
Fudan (Shanghai),software5-P,67.54
BASELINE UDPipe 1.2 (Praha),software1-P,67.11
Phoenix (Shanghai),software1-P,66.85
BOUN (İstanbul),software2-P,64.44
CUNI x-ling (Praha),software1-P,63.97
HUJI (Yerushalayim),software1-P,59.06
ONLP lab (Ra'anana),software3-P,58.09
iParse (Pittsburgh),software1-P,57.73
ArmParser (Yerevan),software1-P,48.07
SParse (İstanbul),software1-P,2.35
