Stanford (Stanford),software2,80.05
HIT-SCIR (Harbin),software1-P,80.0
TurkuNLP (Turku),software1-P,79.48
UDPipe Future (Praha),software1-P,79.48
ICS PAS (Warszawa),software1-P,79.05
CEA LIST (Paris),software1-P,78.49
NLP-Cube (București),software1-P,78.02
LATTICE (Paris),software1-P,77.69
SLT-Interactions (Bengaluru),software2-P,76.9
ParisNLP (Paris),software1-P,76.68
AntNLP (Shanghai),software1-P,76.03
IBM NY (Yorktown Heights),software1-P,73.73
LeisureX (Shanghai),software1-P,73.64
Uppsala (Uppsala),software1-P,72.46
iParse (Pittsburgh),software1-P,71.85
UniMelb (Melbourne),software1-P,70.62
KParse (İstanbul),software1-P,70.37
BASELINE UDPipe 1.2 (Praha),software1-P,69.97
Fudan (Shanghai),software5-P,69.97
Phoenix (Shanghai),software1-P,69.32
CUNI x-ling (Praha),software1-P,68.7
HUJI (Yerushalayim),software1-P,66.07
ONLP lab (Ra'anana),software3-P,64.99
BOUN (İstanbul),software2-P,62.63
ArmParser (Yerevan),software1-P,51.06
SParse (İstanbul),software1-P,0.0
